Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.82,0.82,NO,N/A,53.87%,67.82%,132.46%,49.04%,114.05,0.4827,2.4564,0.161,0.638,0.825,0.31
3,0.72,0.66,NO,N/A,34.06%,55.96%,136.88%,41.4%,89.54,0.3667,1.385,0.108,0.554,0.881,0.42
4,1.0,1.0,NO,N/A,23.48%,35.98%,90.25%,23.43%,78.39,0.2387,0.6907,0.056,0.292,0.938,0.667
5,1.0,1.0,YES,1.76e-04,17.93%,30.18%,90.6%,19.68%,79.5,0.1774,0.6991,0.031,0.286,0.966,0.7
6*,1.0,0.98,YES,Most Stab Sigs,12.62%,24.28%,76.23%,13.59%,47.8,0.1375,0.5426,0.015,0.094,0.983,0.905
7,0.8,-0.32,NO,N/A,11.51%,23.44%,72.79%,12.28%,44.39,0.1356,0.522,0.013,0.079,0.985,0.92
8,0.6,-0.55,NO,N/A,10.96%,22.1%,66.47%,11.85%,40.5,0.135,0.4686,0.012,0.063,0.987,0.937
9,0.6,-0.58,NO,N/A,9.37%,20.98%,44.57%,11.05%,33.13,0.1263,0.3866,0.009,0.055,0.99,0.939
10,0.52,-0.44,NO,N/A,9.49%,21.23%,56.35%,10.29%,33.03,0.1275,0.3665,0.009,0.051,0.99,0.94
11,0.48,-0.59,NO,N/A,8.43%,19.13%,43.51%,10.14%,25.27,0.1234,0.3755,0.007,0.032,0.992,0.962
12,0.52,-0.77,NO,N/A,7.51%,18.35%,37.98%,9.64%,25.72,0.1141,0.3152,0.006,0.033,0.993,0.961
13,0.49,-0.76,NO,N/A,6.95%,17.39%,43.34%,8.0%,24.06,0.1145,0.3444,0.006,0.028,0.994,0.968
14,0.4,-0.69,NO,N/A,6.9%,17.81%,47.17%,8.23%,23.36,0.1141,0.3633,0.005,0.027,0.994,0.969
15,0.45,-0.71,NO,N/A,6.26%,16.91%,38.35%,7.84%,23.46,0.1097,0.3208,0.005,0.023,0.995,0.973
16,0.4,-0.71,NO,N/A,6.32%,16.36%,41.01%,7.68%,22.89,0.1102,0.3217,0.004,0.021,0.995,0.976
17,0.37,-0.7,NO,N/A,5.53%,15.88%,40.09%,7.18%,22.17,0.1054,0.272,0.004,0.025,0.996,0.971
18,0.42,-0.77,NO,N/A,5.3%,14.83%,36.56%,6.33%,22.67,0.1021,0.3344,0.003,0.021,0.996,0.977
19,0.43,-0.74,NO,N/A,4.65%,13.67%,36.52%,6.15%,20.44,0.0979,0.282,0.003,0.015,0.997,0.984
20,0.34,-0.74,NO,N/A,4.95%,14.28%,39.61%,6.23%,19.02,0.0993,0.2545,0.003,0.017,0.997,0.98
