MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
1:Del:C:0	1.58E-03	0.00E+00	1.92E-07	9.82E-07	2.22E-02	1.47E-02	5.91E-46	4.88E-02	2.27E-03	2.67E-03	1.23E-02	6.33E-03	4.60E-02	8.77E-03	5.34E-02	3.67E-06	1.54E-02	1.41E-02	2.40E-02
1:Del:C:1	3.19E-03	4.68E-04	1.40E-46	5.18E-05	1.78E-02	1.01E-02	2.37E-03	1.29E-02	6.24E-03	5.86E-03	3.21E-02	2.67E-03	2.82E-02	7.67E-03	1.84E-02	4.68E-03	1.87E-46	1.76E-03	1.63E-02
1:Del:C:2	4.13E-04	1.56E-07	3.75E-09	7.52E-08	1.20E-03	5.70E-07	2.33E-03	9.05E-04	1.90E-03	6.60E-03	3.39E-04	1.16E-03	6.07E-03	3.18E-03	1.22E-03	2.52E-07	0.00E+00	3.38E-07	1.14E-03
1:Del:C:3	0.00E+00	8.70E-04	2.10E-04	0.00E+00	6.69E-03	3.61E-03	5.46E-03	5.59E-03	5.42E-03	5.67E-03	1.19E-02	2.26E-03	4.82E-03	0.00E+00	1.57E-03	6.52E-03	6.94E-04	1.83E-03	3.32E-03
1:Del:C:4	4.51E-03	1.82E-04	6.71E-04	1.09E-08	2.27E-03	8.93E-03	2.36E-03	2.76E-03	3.33E-03	1.97E-03	6.95E-03	1.45E-07	1.48E-02	1.16E-03	7.86E-03	5.34E-03	9.42E-03	3.48E-03	6.89E-03
1:Del:C:5	2.29E-08	5.55E-04	5.09E-03	1.46E-08	6.46E-05	1.62E-03	1.90E-03	2.56E-03	0.00E+00	0.00E+00	6.38E-05	6.90E-03	3.82E-07	4.77E-03	3.39E-04	4.86E-03	4.08E-02	1.14E-02	1.39E-03
1:Del:T:0	7.19E-03	1.91E-03	2.40E-03	1.94E-03	1.66E-02	1.44E-02	4.02E-03	2.11E-02	5.42E-03	1.84E-02	1.86E-02	4.41E-03	3.73E-02	2.11E-02	1.49E-02	1.49E-03	1.76E-02	2.82E-02	1.69E-02
1:Del:T:1	3.72E-03	0.00E+00	0.00E+00	3.89E-08	9.53E-03	3.68E-03	1.44E-03	5.24E-03	5.02E-03	2.63E-03	2.14E-02	1.96E-07	2.36E-02	3.01E-03	1.67E-02	1.08E-02	8.11E-07	1.06E-02	1.24E-02
1:Del:T:2	2.29E-03	3.55E-08	1.54E-03	0.00E+00	1.79E-02	1.88E-07	2.27E-06	1.47E-02	1.08E-03	3.30E-03	3.20E-02	2.55E-03	7.27E-03	1.11E-02	5.91E-02	1.47E-02	9.11E-03	6.15E-03	1.88E-02
1:Del:T:3	1.45E-03	6.09E-04	2.38E-03	6.37E-04	1.27E-02	9.24E-03	7.52E-04	2.30E-02	6.61E-03	2.69E-03	2.05E-02	2.80E-46	3.32E-02	1.39E-02	2.76E-02	1.38E-02	3.25E-02	2.25E-02	1.45E-02
1:Del:T:4	4.52E-03	1.09E-03	5.71E-03	6.14E-06	1.98E-02	1.93E-03	4.00E-03	1.27E-02	0.00E+00	0.00E+00	3.03E-02	2.40E-03	4.21E-02	9.61E-03	1.46E-02	2.39E-02	3.87E-02	6.49E-03	5.19E-04
1:Del:T:5	4.61E-03	1.52E-03	6.88E-03	1.45E-07	9.70E-03	4.36E-06	2.76E-07	2.46E-03	1.81E-03	1.32E-06	1.04E-06	3.07E-07	8.69E-07	1.53E-03	6.28E-02	1.53E-02	1.68E-06	9.35E-02	7.04E-03
1:Ins:C:0	1.47E-08	5.76E-08	6.04E-08	2.70E-08	5.46E-08	1.52E-03	7.69E-04	3.13E-07	3.79E-03	1.32E-03	5.47E-07	1.68E-07	3.49E-07	3.61E-03	9.60E-04	1.32E-07	3.77E-07	2.67E-07	3.32E-04
1:Ins:C:1	1.83E-04	5.35E-08	7.13E-08	4.32E-08	1.52E-04	5.71E-08	1.06E-03	1.87E-07	5.50E-08	1.43E-03	3.12E-03	5.41E-05	1.67E-07	1.41E-03	1.66E-03	3.79E-04	4.36E-07	1.72E-07	3.38E-03
1:Ins:C:2	3.62E-04	7.05E-08	1.01E-08	3.82E-08	4.42E-04	4.27E-04	3.23E-04	2.06E-03	2.37E-04	5.28E-04	0.00E+00	2.95E-03	5.81E-04	1.16E-03	1.16E-03	3.51E-06	2.74E-06	2.45E-03	7.36E-05
1:Ins:C:3	2.26E-07	3.09E-05	3.78E-08	2.09E-05	4.72E-08	1.85E-07	1.70E-04	0.00E+00	6.11E-08	1.22E-07	1.26E-06	2.55E-07	5.18E-07	6.37E-04	7.10E-04	3.76E-04	1.23E-03	1.76E-07	1.22E-03
1:Ins:C:4	1.19E-03	8.75E-05	5.64E-04	0.00E+00	0.00E+00	1.41E-08	8.14E-04	1.02E-04	1.10E-03	7.05E-05	0.00E+00	4.55E-07	4.19E-07	4.39E-03	0.00E+00	3.95E-03	5.01E-03	2.25E-03	2.08E-03
1:Ins:C:5	3.99E-08	3.71E-03	6.54E-04	3.32E-07	1.14E-06	5.47E-07	0.00E+00	2.09E-07	1.40E-46	0.00E+00	4.93E-07	9.42E-07	1.51E-03	1.56E-03	2.21E-06	5.28E-02	4.72E-02	3.58E-03	1.41E-02
1:Ins:T:0	0.00E+00	4.41E-04	3.29E-08	4.56E-07	6.84E-03	3.67E-03	3.86E-03	5.17E-03	7.45E-05	3.33E-03	3.72E-03	4.23E-03	3.91E-03	2.84E-03	5.38E-03	1.56E-03	3.78E-03	3.45E-03	2.07E-04
1:Ins:T:1	0.00E+00	3.58E-08	0.00E+00	4.18E-08	5.72E-03	3.15E-03	1.68E-04	7.25E-03	2.97E-03	4.18E-04	6.13E-03	5.09E-07	1.43E-02	8.85E-03	1.22E-03	1.19E-07	1.13E-03	7.47E-08	1.65E-02
1:Ins:T:2	1.21E-08	2.84E-05	4.45E-08	3.36E-04	1.02E-03	2.11E-03	1.49E-03	7.02E-04	1.06E-03	8.14E-04	1.92E-07	3.53E-04	2.75E-03	7.38E-03	2.80E-03	4.28E-03	1.61E-03	5.35E-04	1.79E-03
1:Ins:T:3	6.33E-04	1.65E-03	1.68E-04	1.46E-08	2.41E-03	8.21E-03	1.72E-03	1.64E-07	1.76E-03	2.80E-46	5.54E-03	4.72E-03	1.50E-02	6.89E-03	1.40E-07	5.95E-03	8.72E-04	1.55E-07	3.22E-03
1:Ins:T:4	1.43E-04	1.79E-03	1.14E-04	2.63E-07	1.53E-03	2.80E-03	2.24E-03	1.57E-03	9.91E-08	1.45E-03	4.26E-07	4.99E-02	1.21E-02	1.76E-03	3.36E-03	2.81E-02	9.25E-03	7.93E-04	1.76E-03
1:Ins:T:5	3.53E-06	6.92E-03	1.70E-03	8.56E-05	8.45E-03	2.96E-02	1.27E-02	7.70E-03	8.75E-03	1.39E-03	2.47E-07	5.85E-28	3.64E-06	7.73E-04	7.13E-03	5.49E-02	1.35E-02	9.30E-03	1.10E-01
