Samples	ID83A	ID83B	ID83C	ID83D
V1	1.35E+01	1.08E+01	1.28E+01	1.17E+01
V2	1.30E+01	8.52E+00	1.17E+01	9.97E+00
V3	1.61E+01	1.22E+01	1.32E+01	1.16E+01
V4	7.57E+00	5.07E+00	4.66E+00	5.72E+00
V5	2.80E+00	7.35E+00	1.40E+01	9.35E+00
V6	8.58E+00	9.76E+00	6.02E+00	5.16E+00
V7	1.74E+01	1.41E+01	1.40E+01	2.93E+00
V8	1.37E+01	1.26E+01	9.96E+00	1.04E+01
V9	2.43E+01	2.69E+01	2.86E+01	1.35E+01
V10	1.06E+00	5.57E+00	7.46E+00	5.76E+00
V11	6.13E+00	3.35E+00	4.94E+00	2.16E+00
V12	1.81E+00	2.39E+00	7.42E-01	1.26E+00
V13	1.71E+01	1.40E+01	1.67E+01	1.32E+01
V14	5.69E+00	1.52E+01	1.90E+01	1.35E+01
V15	1.04E+01	1.62E+01	2.28E+01	1.92E+01
V16	4.74E+00	7.68E+00	7.96E+00	7.91E+00
V17	1.38E+01	1.08E+01	1.44E+01	1.56E+01
V18	1.06E+01	1.17E+01	9.33E+00	5.79E+00
V19	5.52E+00	6.15E+00	5.66E+00	2.16E+00
V20	8.81E+00	9.93E+00	1.28E+01	6.94E+00
V21	4.72E+01	3.55E+01	4.39E+01	3.67E+00
V22	1.15E+00	4.33E-01	1.95E+00	2.43E+00
V23	8.03E+00	9.21E+00	1.05E+01	1.41E+00
V24	5.61E+00	1.07E+01	1.37E+01	7.90E+00
V25	3.76E+00	4.73E+00	4.25E+00	2.77E+00
V26	5.80E+00	9.35E+00	1.08E+01	9.25E+00
V27	4.60E+01	4.06E+01	4.77E+01	6.70E+00
V28	7.00E-01	5.43E+00	8.93E+00	6.44E+00
V29	3.86E+01	2.55E+01	3.39E+01	1.69E+00
V30	3.17E+01	2.05E+01	1.94E+01	1.78E+01
V31	7.79E+00	4.65E+00	7.59E+00	4.86E+00
V32	9.74E+00	1.14E+01	1.49E+01	1.11E+00
V33	5.30E+00	5.71E+00	6.74E+00	6.48E+00
V34	9.89E-01	3.40E+00	3.24E+00	1.53E+00
V35	2.12E+01	1.63E+01	2.29E+01	1.68E+01
V36	3.46E+00	1.50E+00	3.21E+00	1.73E+00
V37	8.19E+00	5.65E+00	7.89E+00	5.31E+00
V38	2.24E+01	1.71E+01	2.07E+01	2.47E+00
V39	5.97E+00	7.11E+00	6.10E+00	3.00E+00
V40	6.84E+01	4.46E+01	4.50E+01	4.25E+01
V41	1.71E+01	3.32E+00	1.36E+01	6.94E+00
V42	3.94E+00	7.92E-01	6.78E+00	6.78E+00
V43	3.11E+01	2.08E+01	2.41E+01	2.29E+01
V44	9.56E+00	1.45E+01	1.44E+01	5.76E+00
V45	3.86E+01	3.16E+01	2.80E+01	2.68E+01
V46	3.62E+01	2.52E+01	2.74E+01	2.56E+01
V47	5.66E+00	5.32E+00	5.95E+00	4.80E+00
V48	2.85E+01	1.90E+01	2.12E+01	2.19E+01
V49	2.82E+00	6.06E+00	8.04E+00	6.49E+00
V50	1.39E+01	1.47E+01	2.04E+01	1.41E+00
V51	3.78E+00	1.64E+01	2.25E+01	9.75E+00
V52	1.48E+01	2.80E+00	2.08E+01	1.34E+01
V53	1.48E+01	1.58E+01	1.88E+01	1.57E+01
V54	6.27E+00	1.31E+00	6.31E+00	3.87E+00
V55	2.44E+00	4.14E+00	3.58E+00	0.00E+00
V56	3.28E+01	2.67E+01	2.64E+01	3.89E+00
V57	7.14E+00	5.60E+00	5.03E+00	5.16E+00
V58	2.70E+01	1.88E+01	1.97E+01	2.30E+00
V59	2.88E+00	2.54E+00	2.65E+00	1.87E+00
V60	8.43E+00	1.03E+01	1.12E+01	8.62E+00
V61	2.24E+00	4.13E+00	4.54E+00	2.61E+00
V62	6.70E+00	8.90E+00	1.17E+01	3.90E+00
V63	8.77E+00	5.06E+00	7.45E+00	1.35E+00
V64	9.38E+00	9.02E+00	1.02E+01	8.17E-01
V65	1.13E+00	5.59E-01	1.04E+00	1.21E+00
V66	3.87E+00	3.55E+00	6.63E+00	4.02E+00
V67	6.12E+00	4.43E+00	5.95E+00	0.00E+00
V68	5.76E+01	3.36E+01	3.10E+01	2.35E+01
V69	6.26E+00	4.15E+01	5.57E+01	4.16E+01
V70	1.36E+01	1.54E+01	1.54E+01	8.98E+00
V71	1.59E+01	1.76E+01	1.90E+01	1.53E+01
V72	2.42E+01	2.01E+01	2.08E+01	0.00E+00
V73	2.39E+01	1.97E+01	2.20E+01	0.00E+00
V74	5.08E+00	2.01E+01	2.67E+01	2.08E+01
V75	3.71E+00	2.75E+00	1.98E+00	3.48E+00
V76	7.79E+00	1.30E+01	9.58E+00	9.88E+00
V77	3.48E+01	2.35E+01	3.74E+01	1.08E+01
V78	1.97E+01	1.53E+01	1.32E+01	4.70E+00
V79	1.25E+01	9.20E+00	1.07E+01	1.02E+00
V80	2.58E+01	1.97E+01	2.27E+01	2.04E+01
V81	1.33E+01	1.95E+01	2.92E+01	1.03E+01
V82	2.39E+00	2.65E+00	8.30E-01	5.58E-01
V83	8.67E+00	9.82E+00	1.22E+01	8.95E+00
V84	2.56E+00	3.87E+00	5.56E+00	5.01E+00
V85	2.72E+01	1.89E+01	2.38E+01	1.37E+01
V86	3.04E+00	5.24E+00	1.00E-01	3.27E+00
V87	3.01E+00	2.63E+00	3.11E+00	7.81E-01
V88	3.55E+00	5.08E+00	3.99E+00	1.93E+00
V89	4.85E+01	3.00E+01	3.05E+01	2.63E+01
V90	2.85E+01	2.38E+01	1.78E+01	2.21E+01
V91	1.15E+01	7.59E+00	6.78E+00	4.25E+00
V92	4.23E+00	3.97E+00	3.71E+00	3.04E+00
V93	2.57E+00	1.08E+01	1.34E+01	7.30E+00
V94	8.60E+00	1.26E+01	1.90E+01	1.08E+01
V95	4.14E+00	1.40E+01	1.95E+01	1.57E+01
V96	9.03E+00	6.83E+00	1.08E+01	6.85E+00
V97	2.00E+01	8.21E+00	1.77E+01	8.16E-01
V98	2.04E+01	1.62E+01	1.31E+01	8.98E+00
V99	2.05E+01	1.56E+01	1.88E+01	1.38E+00
V100	2.24E+00	2.27E+00	1.86E+00	0.00E+00
