Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
V1	44	0	20	73	18	3	11	0	0	0	0	6	33	12	32	0	36	0
V2	4	18	34	0	0	0	66	0	15	0	36	37	0	43	0	0	0	0
V3	20	47	1	30	2	0	63	0	0	18	10	0	34	13	17	0	0	0
V4	0	0	62	12	78	18	97	38	0	4	4	1	5	7	0	27	0	17
V5	26	0	15	110	24	7	0	0	4	43	2	0	30	0	0	5	6	0
V6	1	24	0	17	0	0	0	0	0	9	3	0	9	1	0	0	0	0
V7	16	60	9	0	5	65	6	12	33	1	0	28	0	1	9	2	2	0
V8	150	59	7	13	3	4	0	0	0	3	0	18	3	1	0	0	3	18
V9	10	119	0	10	6	0	0	3	0	19	3	12	30	1	1	0	13	0
V10	11	1	2	128	1	7	39	0	0	10	7	0	32	0	2	0	0	0
V11	9	0	56	21	10	3	9	52	55	13	11	7	26	16	0	0	0	4
V12	2	28	63	111	31	22	4	29	34	13	1	85	5	5	37	29	0	0
V13	97	13	9	3	13	4	17	11	35	0	0	0	1	9	1	0	5	0
V14	64	2	140	65	221	0	0	0	24	27	0	0	17	0	0	0	17	0
V15	17	53	3	0	1	43	10	24	0	3	3	25	0	6	15	0	0	3
V16	96	33	45	12	42	44	11	14	14	0	7	0	10	9	10	14	32	0
V17	31	0	64	28	31	0	17	0	22	29	94	5	16	53	0	0	0	0
V18	15	34	82	5	5	0	0	0	95	5	0	0	2	0	0	7	0	0
V19	24	19	47	2	29	0	0	19	54	7	9	0	3	10	0	19	0	13
V20	60	163	6	0	7	49	0	53	10	0	0	5	0	0	11	0	5	0
V21	2	0	22	58	37	3	81	0	0	32	36	0	13	49	3	9	2	0
V22	141	5	11	22	7	0	1	9	8	18	0	2	14	0	35	2	15	0
V23	6	0	53	0	67	9	3	3	29	10	4	6	1	0	8	0	0	0
V24	16	0	3	6	0	0	25	0	0	0	6	3	2	6	3	0	0	5
V25	36	66	4	8	8	7	0	2	6	3	1	35	0	8	13	0	0	0
V26	165	0	8	100	2	0	0	0	8	8	1	0	35	0	0	18	19	0
V27	0	0	3	2	0	41	4	43	0	0	0	15	0	11	17	8	0	4
V28	7	0	29	55	77	31	6	6	28	0	5	0	62	8	8	27	0	10
V29	14	0	105	0	37	11	22	9	54	2	51	0	0	15	0	0	0	0
V30	0	7	4	0	4	1	19	0	0	1	7	0	0	2	0	2	2	0
V31	10	182	16	17	3	231	4	108	0	19	0	0	0	3	71	0	12	0
V32	5	0	262	4	111	2	26	19	33	0	11	9	0	0	0	0	0	0
V33	60	2	12	4	1	0	28	0	0	9	48	0	7	20	9	0	0	0
V34	190	4	7	10	11	4	0	0	0	22	0	0	8	0	6	0	8	0
V35	30	247	10	6	41	4	90	13	0	0	45	7	1	0	14	0	7	6
V36	15	152	4	0	0	32	5	82	2	7	5	0	0	0	1	0	7	0
V37	0	10	0	1	0	95	35	136	0	0	1	0	0	29	28	5	5	0
V38	28	41	27	7	25	7	8	2	17	1	9	0	2	0	0	15	3	3
V39	30	8	28	16	24	0	61	0	38	0	48	99	0	46	0	11	0	0
V40	10	3	8	6	13	5	8	0	12	0	0	37	0	8	0	0	0	0
V41	48	61	16	0	0	2	85	17	3	1	45	0	1	13	0	5	18	0
V42	69	166	7	9	10	62	80	94	5	12	21	0	14	23	35	0	2	0
V43	55	0	43	67	3	0	53	0	34	15	43	0	6	1	11	0	0	0
V44	137	22	0	73	7	0	27	0	7	54	9	120	14	20	0	0	2	0
V45	7	38	28	0	34	21	0	54	41	0	22	63	0	0	12	0	0	0
V46	14	0	0	89	1	1	2	4	0	18	0	0	20	6	0	0	0	0
V47	76	8	95	1	158	0	0	0	67	7	12	0	0	0	0	20	0	0
V48	55	183	27	8	3	0	11	19	15	11	35	0	10	0	0	1	0	0
V49	24	0	10	111	13	0	38	7	0	0	30	11	37	49	33	41	0	0
