NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	44.899	18.917	10.86	11.615	0.114	0.99	40000.0
2	42.211	18.222	9.653	10.695	0.118	0.991	40000.0
3	46.147	19.693	11.406	12.243	0.117	0.989	50000.0
4	45.515	19.48	11.253	12.231	0.113	0.989	50000.0
5	41.474	17.75	10.018	11.328	0.109	0.989	60000.0
6	48.087	20.626	11.827	12.786	0.12	0.988	30000.0
7	43.843	19.008	10.75	11.908	0.116	0.99	20000.0
8	41.254	17.77	9.851	11.117	0.116	0.99	40000.0
9	45.831	19.62	12.096	12.944	0.117	0.988	60000.0
10	45.25	19.237	10.961	11.964	0.115	0.989	40000.0
