Samples	ID83A	ID83B	ID83C	ID83D
V1	5.24E+00	5.24E+00	1.42E+00	9.68E-01
V2	4.50E+00	6.07E+00	1.38E+00	2.70E+00
V3	2.09E+00	2.75E+00	2.78E+00	2.98E-01
V4	4.42E-01	1.77E+00	4.96E-01	1.89E+00
V5	4.21E+00	6.78E+00	1.67E+00	4.41E+00
V6	7.13E+00	1.20E+01	5.91E+00	2.91E+00
V7	2.03E+00	4.86E+00	4.06E+00	3.96E-01
V8	6.83E-01	2.28E+00	2.41E+00	7.78E-01
V9	6.60E+00	6.13E+00	2.77E-01	1.05E+00
V10	7.07E+00	8.61E+00	1.19E+00	3.56E+00
V11	1.86E+00	5.27E+00	4.39E+00	0.00E+00
V12	2.86E+00	4.29E+00	2.46E+00	4.43E+00
V13	7.15E+00	7.45E+00	3.48E-01	2.69E+00
V14	7.12E+00	7.23E+00	3.67E-01	1.98E+00
V15	3.70E+00	1.93E+00	3.70E+00	2.77E+00
V16	4.85E+00	4.80E+00	9.57E-01	8.03E-01
V17	1.55E+01	1.45E+01	1.30E+00	3.47E+00
V18	8.56E+00	9.11E+00	1.13E+00	2.24E+00
V19	1.90E+00	2.12E+00	0.00E+00	6.33E-01
V20	7.63E+00	7.51E+00	1.55E+00	1.01E+00
V21	2.34E+00	2.13E+00	1.96E+00	3.98E+00
V22	6.83E-01	1.38E+00	5.93E-01	6.70E-01
V23	7.78E+00	9.37E+00	9.64E-01	2.04E+00
V24	8.06E-01	1.95E+00	6.18E-01	1.70E+00
V25	3.90E+00	3.10E+00	1.29E+00	1.58E+00
V26	2.09E+00	3.05E+00	2.22E+00	0.00E+00
V27	1.38E+01	1.43E+01	5.67E-01	7.18E-01
V28	2.11E+00	1.61E+00	1.46E+00	3.41E+00
V29	1.26E+01	1.26E+01	5.47E-01	1.41E+00
V30	5.21E-01	2.12E+00	1.75E+00	2.02E+00
V31	2.04E+00	1.14E+00	1.39E+00	2.26E+00
V32	7.15E+00	7.87E+00	2.10E+00	8.59E-01
V33	1.58E+01	1.57E+01	2.72E+00	1.09E+00
V34	3.37E+00	4.99E+00	2.84E+00	7.16E-01
V35	4.45E+00	4.93E+00	9.64E-01	1.24E+00
V36	2.26E+00	1.08E+00	1.93E+00	9.36E-01
V37	3.09E+00	4.30E+00	1.63E+00	7.27E-01
V38	1.26E+00	1.54E+00	1.36E+00	0.00E+00
V39	1.28E+00	1.84E+00	2.57E+00	7.90E-01
V40	1.86E+01	1.83E+01	2.82E+00	1.23E+00
V41	1.63E+00	1.78E+00	1.69E+00	2.33E-01
V42	2.44E+01	2.43E+01	1.98E+00	2.78E+00
V43	4.35E+00	5.18E+00	8.97E-01	3.61E+00
V44	4.59E+00	5.01E+00	3.10E+00	1.05E+00
V45	1.02E+01	1.25E+01	3.93E+00	1.30E+00
V46	1.58E+01	1.61E+01	2.01E+00	2.80E+00
V47	1.09E+01	1.25E+01	2.43E+00	5.96E-01
V48	1.65E+00	5.04E-01	1.79E+00	4.96E-01
V49	3.98E+00	3.25E+00	2.73E+00	0.00E+00
V50	1.83E+00	2.31E+00	9.00E-01	2.22E+00
V51	6.48E+00	6.41E+00	0.00E+00	2.06E+00
V52	5.28E+00	9.64E+00	4.95E+00	8.67E-01
V53	2.08E+00	1.13E+00	2.15E+00	1.19E+00
V54	8.42E+00	9.66E+00	8.33E-01	2.40E+00
V55	3.70E+00	7.15E+00	4.26E+00	0.00E+00
V56	2.68E+00	2.87E+00	2.55E+00	5.73E-01
V57	4.89E+00	4.76E+00	0.00E+00	6.84E-01
V58	2.55E+00	2.93E+00	1.81E+00	1.98E+00
V59	8.41E+00	1.06E+01	3.33E+00	1.74E+00
V60	3.09E+00	4.27E+00	0.00E+00	3.22E+00
V61	3.48E+01	3.51E+01	2.11E+00	9.98E-01
V62	1.29E+01	1.45E+01	2.91E+00	2.54E+00
V63	1.86E+01	1.84E+01	1.54E+00	5.62E+00
V64	4.47E+00	2.73E+00	4.82E+00	1.15E+00
V65	4.01E+00	4.23E+00	1.92E+00	1.72E+00
V66	5.23E+00	8.61E+00	7.22E+00	2.41E+00
V67	2.27E+00	2.23E+00	9.48E-01	6.50E-01
V68	1.22E+01	1.35E+01	6.48E+00	1.84E+00
V69	6.98E+00	6.36E+00	1.12E+00	1.17E+00
V70	6.06E+00	6.19E+00	1.65E+00	5.12E-01
V71	4.97E+00	5.72E+00	6.01E-01	1.67E+00
V72	3.92E+00	4.53E+00	2.24E-01	2.02E+00
V73	2.68E+01	2.62E+01	1.02E+00	2.13E+00
V74	7.15E+00	8.00E+00	1.56E+00	2.01E+00
V75	3.13E+00	4.59E+00	3.50E+00	3.62E+00
V76	6.43E+00	7.22E+00	3.06E-01	1.39E+00
V77	1.66E+01	1.66E+01	1.25E+00	5.39E-01
V78	7.31E-01	2.58E+00	2.56E+00	6.18E-01
V79	9.53E+00	8.66E+00	5.17E-01	2.72E+00
V80	2.74E+00	5.47E+00	3.16E+00	2.18E+00
V81	1.16E+00	0.00E+00	1.29E+00	1.87E+00
V82	2.90E+01	3.00E+01	4.52E-01	2.63E+00
V83	2.16E+01	2.44E+01	4.42E+00	1.00E+00
V84	1.08E+00	6.71E-01	5.97E-01	5.39E-01
V85	2.29E+00	3.84E+00	3.26E+00	1.28E+00
V86	1.26E+00	3.97E+00	2.89E+00	9.87E-01
V87	3.38E+00	3.74E+00	6.83E-01	1.30E+00
V88	4.67E+00	5.09E+00	1.67E+00	7.16E-01
V89	5.72E+00	7.64E+00	1.46E+00	3.36E+00
V90	1.19E+00	2.99E+00	2.30E+00	7.30E-01
V91	2.40E+01	2.41E+01	1.78E+00	1.31E+00
V92	1.47E+01	1.54E+01	1.24E+00	1.17E+00
V93	6.61E+00	6.74E+00	2.10E+00	3.96E-01
