NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	118.82	21.617	23.675	13.177	0.09	0.987	70000.0
2	119.268	22.211	24.242	13.877	0.093	0.985	150000.0
3	118.987	21.667	24.329	13.35	0.089	0.986	60000.0
4	122.208	22.547	24.836	13.857	0.091	0.986	80000.0
5	121.795	22.069	25.351	13.803	0.09	0.986	60000.0
6	121.901	22.473	25.034	14.152	0.092	0.984	130000.0
7	122.193	22.552	24.473	13.9	0.092	0.986	120000.0
8	122.423	22.544	25.321	14.221	0.091	0.985	140000.0
9	120.563	22.195	24.45	13.66	0.093	0.986	90000.0
10	120.466	21.872	24.214	13.329	0.09	0.987	140000.0
