MutationType	ID1	ID2	ID8	ID9	ID20	ID83E
2:Ins:R:1	0.00000788	0.00027166	0.00166182	0.00210019	0.00060921	0.00000000
2:Ins:R:2	0.00022135	0.00103534	0.00030459	0.00076094	0.00234557	0.00108546
2:Ins:R:3	0.00051427	0.00038133	0.00017758	0.00035163	0.00037451	0.00005662
2:Ins:R:4	0.00291310	0.00197742	0.00001660	0.00003070	0.00000001	0.00013765
2:Ins:R:5	0.01812158	0.01363338	0.00176438	0.00000000	0.00103185	0.00024818
3:Ins:R:0	0.00000031	0.00005780	0.00066786	0.00025457	0.00000001	0.00015121
3:Ins:R:1	0.00025469	0.00122705	0.00067172	0.00082336	0.00052985	0.00027051
3:Ins:R:2	0.00004410	0.00021007	0.00013577	0.00011826	0.00000001	0.00000011
3:Ins:R:3	0.00016670	0.00000302	0.00003790	0.00000518	0.00000002	0.00000035
3:Ins:R:4	0.00008890	0.00014181	0.00012204	0.00001610	0.00000002	0.00032065
3:Ins:R:5	0.00124870	0.00186471	0.00003660	0.00000000	0.00000002	0.00000000
4:Ins:R:0	0.00000000	0.00001680	0.00077776	0.00016439	0.00000001	0.00002945
4:Ins:R:1	0.00074438	0.00120373	0.00110390	0.00071557	0.00037807	0.00097976
4:Ins:R:2	0.00007550	0.00001220	0.00007990	0.00004240	0.00000002	0.00000014
4:Ins:R:3	0.00015754	0.00013417	0.00000858	0.00002150	0.00000002	0.00000035
4:Ins:R:4	0.00031965	0.00024939	0.00020551	0.00000000	0.00000001	0.00000002
4:Ins:R:5	0.00100132	0.00219354	0.00088523	0.00000218	0.00000003	0.00063808
5:Ins:R:0	0.00000000	0.00000000	0.00031833	0.00016585	0.00090609	0.00000010
5:Ins:R:1	0.00144313	0.00013566	0.00976111	0.00125400	0.00317867	0.00024117
5:Ins:R:2	0.00025483	0.00000553	0.00010115	0.00010285	0.00000000	0.00013020
5:Ins:R:3	0.00023709	0.00009770	0.00007090	0.00008020	0.00000002	0.00000035
5:Ins:R:4	0.00026187	0.00000215	0.00000674	0.00005050	0.00000003	0.00000035
5:Ins:R:5	0.00011983	0.00011563	0.00019055	0.00000989	0.00000003	0.00002539
2:Del:M:1	0.00119782	0.00017555	0.00491367	0.00390097	0.00188551	0.00102361
3:Del:M:1	0.00008190	0.00000055	0.00929034	0.00301133	0.00051866	0.00049336
3:Del:M:2	0.00147959	0.00294406	0.00430269	0.00154330	0.00057226	0.00057709
4:Del:M:1	0.00008380	0.00014700	0.00580955	0.00192772	0.00044321	0.00060706
4:Del:M:2	0.00014548	0.00055061	0.00159159	0.00329745	0.00051053	0.00000000
4:Del:M:3	0.00016068	0.00069357	0.00109834	0.00254408	0.00046437	0.00054680
5:Del:M:1	0.00000082	0.00062496	0.28072426	0.00003540	0.00293657	0.00383232
5:Del:M:2	0.00000000	0.00011771	0.12361016	0.00022124	0.00339909	0.00070674
5:Del:M:3	0.00000000	0.00005670	0.04613041	0.00057091	0.00145241	0.00274871
5:Del:M:4	0.00003880	0.00046284	0.01636726	0.00044831	0.00121925	0.00070586
5:Del:M:5	0.00066512	0.00236732	0.01281488	0.00000000	0.00000000	0.00008515
