Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
V1	5.89E+00	0.00E+00	9.21E-01	7.33E-01	2.67E+00	2.68E+00	3.40E-01	3.20E+00	3.04E+00	3.28E+00	7.06E-01	2.16E+00
V2	1.84E+01	9.48E-01	1.63E+00	4.30E+00	3.67E-01	1.84E+00	1.73E+00	1.22E+00	2.50E+00	1.02E+01	4.99E-01	9.61E+00
V3	1.05E+01	5.96E+00	7.18E-01	7.84E+00	1.35E+01	7.50E+00	1.49E+00	9.01E+00	1.21E+01	7.56E+00	1.34E+00	8.14E+00
V4	3.26E+00	6.36E-01	6.42E+00	1.61E+00	5.80E+00	0.00E+00	6.02E+00	0.00E+00	4.57E+00	2.69E+00	5.04E+00	4.02E+00
V5	2.04E+00	2.67E+00	2.61E+00	1.36E+00	1.59E+00	1.01E+00	3.26E+00	3.00E-01	1.77E+00	3.22E+00	1.88E+00	2.04E+00
V6	4.23E-01	0.00E+00	3.88E+00	0.00E+00	0.00E+00	8.27E-01	4.49E+00	7.37E-01	0.00E+00	1.85E+00	1.98E+00	3.39E+00
V7	3.12E+00	1.24E+01	2.30E+00	6.63E-01	2.87E+00	4.97E+00	1.67E+00	4.22E+00	8.67E+00	7.88E+00	3.26E+00	1.67E+00
V8	5.30E+00	0.00E+00	1.41E+01	2.02E+00	2.37E+00	6.05E+00	1.29E+01	6.45E+00	1.48E+00	3.94E+00	2.92E+00	2.22E+00
V9	1.21E+00	6.29E-01	7.53E+00	1.31E+01	4.99E-01	2.32E+00	6.33E+00	1.58E+00	3.00E-01	2.88E+00	3.16E+00	1.64E+01
V10	2.21E+00	3.10E+00	1.96E+01	2.54E+00	1.02E+00	1.91E+01	2.19E+01	2.22E+01	0.00E+00	3.32E+00	1.33E+01	6.30E+00
