Samples	ID83A	ID83B
V1	2.31E+01	2.31E+01
V2	5.02E+01	5.02E+01
V3	5.39E+01	5.39E+01
V4	4.52E+01	4.52E+01
V5	5.61E+01	5.61E+01
V6	6.40E+00	6.40E+00
V7	3.48E+01	3.48E+01
V8	1.53E+01	1.53E+01
V9	1.55E+01	1.55E+01
V10	1.24E+01	1.24E+01
V11	3.57E+01	3.58E+01
V12	1.39E+01	1.39E+01
V13	1.44E+01	1.44E+01
V14	7.38E+00	7.38E+00
V15	3.68E+01	3.68E+01
V16	1.24E+01	1.24E+01
V17	2.45E+01	2.45E+01
V18	6.00E-01	6.00E-01
V19	2.83E+01	2.83E+01
V20	3.39E+01	3.39E+01
V21	1.54E+01	1.54E+01
V22	2.13E+01	2.13E+01
V23	8.78E+00	8.78E+00
V24	8.00E+01	8.00E+01
V25	5.12E+00	5.12E+00
V26	1.72E+01	1.72E+01
V27	9.57E+00	9.57E+00
V28	4.49E+01	4.49E+01
V29	1.17E+01	1.17E+01
V30	1.29E+01	1.29E+01
V31	9.94E-01	9.94E-01
V32	9.48E+00	9.48E+00
V33	8.97E+00	8.97E+00
V34	2.24E+01	2.24E+01
V35	4.82E+00	4.82E+00
V36	2.27E+01	2.27E+01
V37	2.31E+01	2.31E+01
V38	6.43E+01	6.43E+01
V39	2.50E+01	2.50E+01
V40	5.33E+01	5.33E+01
V41	3.53E+01	3.53E+01
V42	3.22E+00	3.22E+00
V43	9.12E+00	9.12E+00
V44	6.39E+00	6.39E+00
V45	3.07E+01	3.07E+01
V46	1.62E+01	1.62E+01
V47	2.57E+01	2.57E+01
V48	5.57E+00	5.57E+00
V49	9.06E+00	9.06E+00
V50	2.82E+01	2.82E+01
V51	2.27E+01	2.27E+01
V52	1.39E+01	1.39E+01
V53	1.64E+01	1.64E+01
V54	2.02E+01	2.02E+01
V55	5.28E+00	5.28E+00
V56	6.78E+00	6.78E+00
V57	1.81E+01	1.81E+01
V58	1.09E+01	1.09E+01
V59	2.35E+01	2.35E+01
V60	2.41E+01	2.41E+01
V61	2.74E+01	2.74E+01
V62	1.65E+01	1.65E+01
V63	1.24E+01	1.24E+01
V64	1.77E+01	1.77E+01
V65	3.81E+01	3.81E+01
V66	1.32E+01	1.32E+01
V67	1.67E+01	1.67E+01
V68	3.00E+01	3.00E+01
V69	5.13E+00	5.13E+00
V70	2.49E+01	2.49E+01
V71	1.34E+01	1.34E+01
V72	1.22E+01	1.22E+01
V73	1.44E+01	1.44E+01
V74	1.45E+01	1.45E+01
V75	3.44E+00	3.44E+00
V76	6.54E+00	6.54E+00
V77	1.93E+01	1.93E+01
V78	2.57E+01	2.57E+01
V79	2.94E+01	2.94E+01
V80	3.54E+00	3.54E+00
V81	1.44E+01	1.44E+01
V82	1.28E+01	1.28E+01
V83	4.96E+00	4.96E+00
V84	4.98E+01	4.98E+01
V85	4.18E+01	4.18E+01
V86	1.79E+01	1.79E+01
V87	3.35E+01	3.35E+01
V88	1.41E+01	1.41E+01
V89	8.63E+00	8.63E+00
V90	1.70E+01	1.70E+01
V91	1.42E+01	1.42E+01
V92	7.26E+00	7.26E+00
V93	2.43E+01	2.43E+01
V94	2.59E+00	2.59E+00
V95	7.01E+01	7.01E+01
V96	4.49E+01	4.49E+01
V97	5.64E+00	5.64E+00
V98	6.76E+01	6.76E+01
V99	6.20E+00	6.20E+00
V100	1.61E+01	1.61E+01
