Samples	ID83A	ID83B	ID83C	ID83D
V1	202	2	140	5
V2	121	118	5	11
V3	16	59	191	35
V4	156	152	35	43
V5	2	78	9	106
V6	39	396	13	7
V7	5	912	152	0
V8	135	56	10	72
V9	211	23	0	52
V10	0	0	60	275
V11	0	135	110	17
V12	22	0	296	26
V13	79	0	24	185
V14	30	67	16	174
V15	124	28	77	52
V16	247	3	80	34
V17	45	11	0	78
V18	80	19	28	24
V19	41	193	22	0
V20	172	17	54	13
V21	196	182	36	18
V22	52	147	47	100
V23	223	75	0	34
V24	20	10	52	59
V25	43	191	55	195
V26	0	0	30	316
V27	0	43	55	224
V28	61	9	39	409
V29	0	106	230	0
V30	220	2	223	4
V31	5	14	63	92
V32	86	82	27	23
V33	426	62	6	9
V34	70	18	20	5
V35	0	1	34	95
V36	88	8	0	12
V37	114	99	8	75
V38	0	85	287	88
V39	102	0	403	0
V40	334	34	1	23
V41	6	45	19	20
V42	126	230	55	23
V43	117	15	0	5
V44	0	43	155	208
V45	0	0	30	344
V46	0	112	32	22
V47	229	6	16	19
V48	70	5	0	15
V49	57	99	4	65
V50	0	168	31	0
V51	192	226	97	0
V52	0	330	22	30
V53	126	142	0	105
V54	84	109	0	23
V55	212	14	30	3
V56	0	5	49	51
V57	174	103	8	44
V58	0	23	31	8
V59	30	12	4	53
V60	24	32	125	8
V61	0	11	89	98
V62	238	133	12	13
V63	104	34	488	0
V64	196	40	0	26
V65	0	29	1	1
V66	80	9	280	14
V67	52	36	27	11
V68	83	16	25	50
V69	0	0	213	143
V70	65	271	54	43
V71	342	84	0	314
V72	165	62	0	185
V73	259	105	47	0
V74	39	325	86	3
V75	48	0	292	68
V76	115	24	30	213
V77	106	103	105	4
V78	102	14	57	15
V79	0	29	32	209
V80	0	138	579	0
V81	202	173	14	55
V82	183	53	25	26
V83	254	0	52	16
V84	171	35	0	70
V85	114	10	3	63
V86	0	10	9	221
V87	273	71	3	141
V88	16	16	18	142
V89	86	7	14	63
V90	0	353	253	0
V91	66	162	183	1
V92	100	254	223	245
V93	0	122	5	0
V94	72	153	25	6
V95	0	39	78	54
V96	96	0	113	6
V97	221	0	58	28
V98	151	21	25	182
V99	46	18	0	121
V100	177	19	62	11
