Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
X33061bf5.9b99.4735.a810.f2d5eeef6873..Panc.AdenoCA..DO33392	62	138	3	37	35	49	45	4
X33070975.0f35.4518.9ffb.4c6170c32534..Panc.AdenoCA..DO33160	74	113	153	14	0	43	66	0
X33bcd589.80db.4a58.8f83.a48cb60e0fda..Panc.AdenoCA..DO35148	12	26	0	9	0	52	64	0
X368e592d.260c.4f58.81c4.a9f1e6177a4b..Panc.AdenoCA..DO51549	0	79	242	0	77	0	60	51
X3933c60d.73d6.4f74.ae02.fd545fc1f092..Panc.AdenoCA..DO51541	71	86	0	47	21	204	67	25
X39c6c3b3.4683.4d11.984c.ed589188da65..Panc.AdenoCA..DO51527	160	558	54	29	62	206	73	81
X39d38c06.3779.4ca4.b103.1d096f93dae8..Panc.AdenoCA..DO51532	69	183	51	14	31	70	39	29
X3b526846.72d6.4e10.b7cd.8cdb45a92a1c..Panc.AdenoCA..DO34736	127	395	49	515	31	188	70	0
X3bfbc33d.804b.4bb3.97ac.97563d77b13d..Panc.AdenoCA..DO33376	3	251	249	18	19	28	6	0
X3c86ba21.7b11.4ec7.9d20.a2325197c676..Panc.AdenoCA..DO33042	25	81	122	10	16	42	96	0
X3e4d0e50.8cf4.4eb0.a00a.ccf0484ecc2f..Panc.AdenoCA..DO33984	49	167	28	30	10	14	75	0
X3ed783cf.2248.44a1.a2a2.d6b6519b91ef..Panc.AdenoCA..DO51495	58	98	0	155	11	73	181	0
X3fb8f017.576f.4901.b8bf.3a58e5d43de3..Panc.AdenoCA..DO35138	0	43	25	2	7	21	32	3
X3fba4880.cb7b.4ac5.ab5f.728614faa1ea..Panc.AdenoCA..DO49466	60	436	148	4	44	0	103	0
X40378b7a.a65d.4510.aaba.a34c4058fac7..Panc.AdenoCA..DO49424	123	291	104	35	29	106	51	0
X42f00950.09c9.461a.8423.d5b04a96af10..Panc.AdenoCA..DO51472	0	146	168	7	5	38	48	33
X441d2f21.b448.4fc8.8c54.9b85aca56237..Panc.AdenoCA..DO35126	185	188	52	12	57	56	40	14
