NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	83.255	33.581	21.931	22.318	0.204	0.962	30000.0
2	78.475	31.169	20.8	20.566	0.182	0.972	20000.0
3	76.785	30.811	19.881	19.956	0.18	0.973	40000.0
4	79.93	31.45	21.209	20.745	0.181	0.97	20000.0
5	79.39	31.004	20.718	19.916	0.177	0.974	40000.0
6	78.68	31.723	20.692	20.989	0.183	0.971	20000.0
7	78.382	31.709	20.613	20.684	0.19	0.969	20000.0
8	78.848	31.045	20.905	20.344	0.177	0.973	20000.0
9	77.765	31.267	20.324	20.236	0.182	0.973	30000.0
10	77.525	30.782	20.391	20.171	0.179	0.971	40000.0
