Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
V1	2.07E+00	1.02E+00	5.68E+00	3.56E+00	8.67E-01	1.69E+00	1.42E+00	2.28E+00	1.35E+00	1.28E+00	6.71E-01	3.77E+00
V2	4.08E+00	1.79E+00	9.32E-01	3.22E+00	2.36E+00	2.17E+01	2.33E+01	4.12E+00	3.09E+00	5.03E+00	4.46E+00	0.00E+00
V3	1.85E+00	2.31E+00	1.36E+00	6.90E-01	1.75E+00	3.41E+00	4.56E+00	3.79E-01	3.67E+00	7.45E+00	2.18E+00	3.09E+00
V4	1.73E+00	1.13E+00	2.30E+00	3.67E+00	8.06E-01	1.35E+00	1.47E+00	2.76E+00	2.13E-01	1.89E+00	3.08E+00	2.30E+00
V5	2.09E+00	1.76E+00	3.36E+00	1.39E+00	3.76E+00	4.28E+00	5.13E+00	7.48E-01	5.16E+00	5.74E+00	1.44E+00	3.50E+00
V6	3.92E+00	1.08E+00	4.23E+00	4.84E+00	2.28E+00	1.32E+00	1.52E+00	3.89E+00	3.57E+00	4.76E+00	6.55E+00	4.79E+00
V7	1.30E+01	2.05E+00	8.67E-01	2.45E+00	0.00E+00	2.37E+00	2.32E+00	1.82E+00	0.00E+00	9.80E+00	1.09E+01	1.00E-01
V8	1.83E+00	4.58E-01	3.58E+00	1.68E+00	3.45E+00	0.00E+00	0.00E+00	5.43E-01	1.20E+00	1.22E+00	2.24E+00	4.53E+00
V9	2.98E+00	8.46E-01	1.88E+01	7.47E+00	1.30E+00	3.79E-01	1.46E+00	6.62E+00	2.23E+00	2.56E+00	1.57E+00	2.13E+01
V10	1.73E+01	6.71E-01	3.35E-01	0.00E+00	1.30E+00	8.30E+00	9.57E+00	0.00E+00	1.31E+00	1.38E+01	1.54E+01	0.00E+00
