NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	60.99	23.486	15.473	15.64	0.124	0.981	40000.0
2	56.859	22.223	14.105	14.694	0.113	0.983	40000.0
3	59.131	22.741	14.823	14.79	0.117	0.985	40000.0
4	59.707	22.854	14.674	14.79	0.12	0.985	40000.0
5	58.806	22.961	14.582	14.88	0.122	0.985	40000.0
6	57.197	22.103	13.681	13.988	0.116	0.986	30000.0
7	59.779	23.664	14.788	15.913	0.126	0.98	40000.0
8	55.769	21.819	13.603	13.96	0.12	0.986	40000.0
9	62.714	24.555	15.829	16.26	0.125	0.98	50000.0
10	59.675	23.285	14.721	15.214	0.125	0.983	60000.0
