Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.71,0.69,NO,N/A,62.13%,75.97%,137.01%,63.07%,110.57,0.508,1.244,0.204,0.6,0.78,0.334
3,0.62,0.43,NO,N/A,48.95%,60.75%,125.06%,44.96%,102.23,0.4001,1.0027,0.127,0.563,0.863,0.368
4,0.9,0.79,NO,N/A,39.37%,43.01%,130.35%,29.11%,88.44,0.276,1.0767,0.073,0.529,0.92,0.448
5,0.93,0.77,NO,N/A,15.76%,28.16%,78.18%,14.96%,65.37,0.1793,0.5122,0.034,0.24,0.962,0.736
6*,1.0,0.99,YES,Most Stab Sigs,10.03%,21.72%,51.44%,11.52%,46.81,0.124,0.3521,0.013,0.105,0.986,0.888
7,0.83,-0.11,NO,N/A,8.9%,20.69%,50.06%,9.89%,45.95,0.1218,0.3566,0.011,0.103,0.988,0.889
8,0.65,-0.4,NO,N/A,8.74%,20.38%,43.47%,9.77%,35.91,0.1235,0.3569,0.009,0.065,0.99,0.928
9,0.6,-0.56,NO,N/A,7.04%,18.73%,42.11%,8.47%,30.14,0.1146,0.3416,0.007,0.041,0.992,0.955
10,0.52,-0.7,NO,N/A,7.68%,19.04%,48.08%,9.22%,36.62,0.1167,0.3508,0.008,0.063,0.991,0.931
11,0.5,-0.44,NO,N/A,6.41%,17.42%,40.12%,7.93%,30.64,0.1093,0.3249,0.006,0.041,0.994,0.957
12,0.51,-0.71,NO,N/A,5.97%,17.01%,34.83%,7.73%,27.46,0.1061,0.332,0.005,0.038,0.994,0.958
13,0.45,-0.82,NO,N/A,5.74%,16.12%,37.3%,7.4%,26.02,0.1021,0.3134,0.004,0.03,0.996,0.966
14,0.38,-0.67,NO,N/A,5.15%,15.54%,31.08%,6.56%,19.09,0.0998,0.3219,0.003,0.017,0.996,0.981
15,0.32,-0.7,NO,N/A,5.23%,16.05%,31.45%,6.36%,19.11,0.1001,0.307,0.003,0.017,0.996,0.981
16,0.4,-0.73,NO,N/A,4.71%,14.64%,29.48%,6.07%,18.51,0.0936,0.2812,0.003,0.017,0.997,0.98
17,0.37,-0.77,NO,N/A,4.83%,14.38%,27.14%,5.71%,18.28,0.0897,0.2715,0.003,0.017,0.997,0.981
18,0.32,-0.71,NO,N/A,5.35%,13.99%,27.47%,5.87%,18.89,0.0902,0.2888,0.003,0.018,0.997,0.98
19,0.33,-0.68,NO,N/A,4.22%,13.39%,27.75%,5.63%,15.74,0.0867,0.2792,0.002,0.012,0.998,0.987
20,0.26,-0.67,NO,N/A,4.26%,13.62%,28.04%,5.47%,17.47,0.0891,0.28,0.002,0.014,0.998,0.984
