MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
1:Del:C:0	6.83E-04	5.71E-04	2.51E-03	8.97E-03	1.98E-03	2.00E-04	7.40E-03	1.23E-02	6.52E-03	1.06E-02	9.79E-03
1:Del:C:1	5.28E-05	7.29E-04	8.07E-04	5.49E-03	1.38E-03	2.54E-04	5.16E-03	7.77E-03	4.62E-03	5.93E-03	3.02E-03
1:Del:C:2	1.83E-04	7.01E-04	7.36E-04	1.49E-03	6.56E-04	3.63E-04	3.81E-03	5.32E-03	2.64E-03	3.18E-03	2.83E-03
1:Del:C:3	4.67E-04	5.80E-04	7.39E-04	3.39E-03	3.74E-04	1.79E-09	2.02E-03	3.61E-03	2.82E-03	1.19E-03	1.86E-03
1:Del:C:4	1.82E-03	9.87E-05	3.86E-03	1.36E-03	2.48E-04	2.36E-09	1.27E-03	1.24E-03	6.44E-04	2.21E-03	1.70E-03
1:Del:C:5	5.25E-03	7.73E-04	1.35E-02	6.31E-05	2.17E-04	1.05E-04	2.45E-03	1.85E-03	0.00E+00	1.78E-03	4.71E-03
1:Del:T:0	4.09E-04	7.71E-04	1.66E-03	7.69E-03	9.60E-04	1.55E-04	3.54E-03	4.90E-03	6.73E-03	6.35E-03	4.40E-03
1:Del:T:1	4.02E-04	1.08E-03	1.66E-03	5.96E-03	1.04E-03	2.07E-04	5.17E-03	8.34E-03	5.39E-03	5.26E-03	7.34E-04
1:Del:T:2	4.60E-04	8.83E-04	9.72E-04	3.80E-03	1.12E-03	9.00E-05	3.85E-03	5.04E-03	3.70E-03	4.34E-03	1.79E-03
1:Del:T:3	3.77E-03	2.71E-03	9.84E-03	5.06E-03	1.28E-03	2.49E-04	2.14E-46	6.47E-03	4.62E-03	7.78E-03	2.81E-03
1:Del:T:4	1.07E-02	2.15E-03	2.63E-02	2.13E-03	1.99E-03	3.74E-04	1.10E-03	1.37E-02	3.71E-03	1.55E-02	8.94E-03
1:Del:T:5	2.36E-02	2.81E-03	6.05E-02	1.08E-02	3.68E-03	1.31E-03	3.97E-02	1.02E-03	4.18E-03	1.39E-02	5.05E-07
