Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
V1	0	21	1	2	23	29	1	0	16	0	16	0	0	0	0	0	8
V2	3	0	34	0	81	104	0	0	4	0	20	0	0	5	5	0	0
V3	109	105	71	0	65	41	0	0	46	0	0	49	9	0	20	0	0
V4	2	33	10	24	30	19	0	0	0	39	0	0	2	0	4	0	22
V5	36	9	1	8	13	11	0	11	0	5	7	13	0	20	0	0	0
V6	0	0	0	0	1	0	0	32	1	8	8	1	0	0	0	0	0
V7	249	19	1	27	15	17	17	0	0	0	3	55	24	0	0	0	0
V8	0	8	7	59	21	27	26	18	4	86	2	0	44	0	0	0	15
V9	3	0	121	46	0	0	3	38	0	0	31	0	3	0	0	0	0
V10	4	3	15	15	4	5	105	79	71	83	10	16	35	0	0	104	0
V11	0	25	23	3	2	2	17	3	0	0	0	0	0	4	16	0	9
V12	259	0	0	9	64	79	0	0	0	0	0	50	35	0	0	0	0
V13	0	2	106	0	81	33	0	0	0	0	0	0	0	3	0	0	0
V14	98	47	11	44	8	4	151	56	142	14	99	13	7	0	1	0	35
V15	48	52	18	0	0	0	0	0	10	0	0	9	0	4	30	0	0
V16	83	23	0	10	1	0	0	7	1	8	0	16	0	4	0	0	0
V17	0	0	0	45	103	83	0	46	2	1	0	0	8	0	0	0	0
V18	186	0	0	0	63	86	61	0	0	0	0	56	12	0	0	0	0
V19	14	25	95	0	0	5	0	6	1	0	0	0	0	21	4	0	15
V20	7	195	14	17	48	35	169	0	41	0	85	0	9	0	11	0	16
V21	0	8	40	51	11	7	0	22	2	42	0	0	5	0	0	27	0
V22	55	31	49	0	103	109	150	0	5	0	55	2	14	0	9	0	0
V23	0	2	81	88	10	2	0	161	5	74	0	7	0	0	5	0	0
V24	2	0	9	7	3	0	21	0	37	0	10	1	0	23	0	0	0
V25	0	3	53	36	11	8	13	0	44	19	6	7	2	0	1	13	0
V26	36	2	99	0	140	134	99	0	27	7	4	6	0	25	3	0	0
V27	21	83	0	16	33	45	195	9	0	0	29	0	55	17	14	0	0
V28	101	13	6	255	1	0	0	138	0	56	0	0	15	0	2	0	0
