Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
X01b0848c.ae36.4ade.a3da.d297b003c99f..Panc.AdenoCA..DO51493	54	156	151	52	55	368	1045	98	232	37	3	0	12	86	0
X02c97e2b.914e.4afc.bf50.78f0cfbfa67b..Panc.AdenoCA..DO35184	8	5	75	0	9	41	5	0	7	24	12	32	2	14	0
X02e5c36f.5bec.45e2.a048.875653b85ca1..Panc.AdenoCA..DO34616	54	217	0	97	31	19	10	0	25	14	20	0	52	36	1
X03c3c692.8a86.4843.85ae.e045f0fa6f88..Panc.AdenoCA..DO32831	256	189	0	220	27	110	381	0	69	0	57	197	0	0	0
X046d7386.95c8.4501.9e55.c85bec272a7a..Panc.AdenoCA..DO34432	48	19	90	24	2	7	0	0	61	60	22	42	0	0	0
X05070acd.3ec1.44bb.9c32.26d3a483a72a..Panc.AdenoCA..DO32860	161	96	108	48	50	0	10	0	29	30	6	0	2	0	0
X0554ffe5.31f7.43f5.8372.2b73c9cf3527..Panc.AdenoCA..DO49076	0	259	65	101	31	0	13	0	28	34	12	0	0	14	2
X079bcb09.a075.4313.9a3e.dd67734a8c5d..Panc.AdenoCA..DO221540	103	353	19	148	23	71	9	0	38	63	0	13	0	18	25
X0972bfcf.c6c6.48cc.b820.cdfa6279a4f3..Panc.AdenoCA..DO51467	77	92	0	21	124	64	0	0	17	0	33	70	67	32	20
X09cb8bc5.13ac.44ac.9b7d.6de143373570..Panc.AdenoCA..DO51524	110	38	163	0	62	73	11	21	0	0	30	59	70	20	54
X09e1fe3e.bfd8.4175.ac42.0e1bf0ba5523..Panc.AdenoCA..DO51500	119	267	75	119	20	54	12	7	0	37	25	18	0	47	11
X0b29c893.03bf.4131.b192.c14a2788d411..Panc.AdenoCA..DO49418	502	113	227	1	238	84	3	0	40	51	3	91	36	47	2
X0cf9bbc2.cbd5.4b64.8d90.cfa416307b39..Panc.AdenoCA..DO33488	71	1	230	0	30	91	9	0	46	19	0	38	24	85	0
X0efee3f3.313b.44eb.b3b0.af975a1ded82..Panc.AdenoCA..DO49442	0	93	0	84	29	17	16	0	47	7	33	0	5	32	0
X0fbd94b1.bb34.4620.841b.861a0b5e0c12..Panc.AdenoCA..DO49087	59	71	44	104	16	72	12	0	17	6	9	24	57	38	5
X0fc63b79.7fff.441d.88fc.922d53c787ab..Panc.AdenoCA..DO51535	21	77	0	33	10	4	1	0	47	6	8	15	65	0	16
X1168944c.5451.4a18.8758.88bf5723bdd9..Panc.AdenoCA..DO34680	29	74	0	13	99	106	594	0	72	0	58	108	13	3	0
X129459c1.38be.45da.bb87.18848c97c544..Panc.AdenoCA..DO51536	32	169	55	67	50	26	4	0	41	64	17	0	8	33	9
X12f038e1.00af.4c64.a2e0.9e63323492ef..Panc.AdenoCA..DO33512	108	176	29	66	22	30	14	0	100	0	0	34	58	4	0
X1327bbd4.a466.4e26.905f.cf91315f1cc8..Panc.AdenoCA..DO49422	66	117	23	30	31	30	15	0	30	28	12	0	0	0	5
X1447c8cb.25d4.4092.8919.4df08f898d2d..Panc.AdenoCA..DO32984	128	282	0	2	34	52	7	0	18	53	12	0	18	24	0
X170ad241.9e24.469b.b7ca.3fd783a89b21..Panc.AdenoCA..DO49430	141	148	67	126	59	100	2	12	0	16	14	75	0	0	6
X1776f326.b12f.4355.8107.80fa6fcd2159..Panc.AdenoCA..DO51513	23	11	49	38	23	20	0	0	48	18	27	52	0	0	0
X183b04f5.107f.496c.8e9a.8263dd00cffa..Panc.AdenoCA..DO51491	393	471	0	169	66	152	17	0	53	54	19	19	62	0	0
X1a0ef226.41a5.4b56.9078.4b7834f0c976..Panc.AdenoCA..DO35376	40	82	116	90	16	0	13	54	25	4	16	0	0	0	46
X1a841850.fca0.48ab.8c78.db0bd5a64435..Panc.AdenoCA..DO33344	379	337	35	177	62	133	2	0	74	56	41	0	0	6	1
X1ac54c6e.a1e4.4f3b.b4a5.cdb327e0dca6..Panc.AdenoCA..DO34817	22	190	60	109	57	0	0	0	14	18	6	38	0	28	0
X1b0fe1d5.b286.4f49.ae92.94d9c6db9657..Panc.AdenoCA..DO35230	142	166	0	40	53	7	2	0	19	12	7	71	0	37	24
X1c28e44a.6e6c.44ed.b58a.e3262c0e6759..Panc.AdenoCA..DO51544	77	55	38	133	27	30	7	0	47	0	9	0	0	17	15
X1c9fbe26.1447.4335.aaab.06d6bb3e2741..Panc.AdenoCA..DO49078	54	21	38	8	20	0	8	30	43	22	25	0	41	11	0
X1e181878.c640.4e91.a620.3fc4b08a4de1..Panc.AdenoCA..DO33008	2	30	119	75	3	13	401	56	16	0	107	22	0	21	0
X1f81a1b0.8089.44ef.87b5.b3359a407ad2..Panc.AdenoCA..DO33128	0	31	0	0	9	20	3	18	0	20	26	8	54	18	2
X20d1b88b.3ff6.4201.a748.6a993500c652..Panc.AdenoCA..DO32972	20	0	47	40	3	14	0	0	19	21	12	40	0	0	1
X2102558b.87b0.447b.bb9a.e4ae9df8b75e..Panc.AdenoCA..DO33032	290	97	190	110	37	21	6	0	16	43	8	0	0	26	0
X21b1a37f.e91e.4ce1.83cf.bb89b8d0fb35..Panc.AdenoCA..DO33028	0	26	29	182	12	7	2	38	0	39	17	36	5	10	0
X228fb827.c05e.494c.8a21.e1d925e100cb..Panc.AdenoCA..DO51537	166	111	169	59	39	27	0	0	51	1	28	0	0	9	0
X230f53ef.be3f.495e.9b95.b0f670bd6908..Panc.AdenoCA..DO51508	0	0	11	0	10	16	2	0	0	0	0	0	0	0	15
X241abdfd.e6de.4830.a233.4bbc5f622725..Panc.AdenoCA..DO49138	179	186	72	170	51	71	17	0	43	21	14	36	0	0	0
X2564a262.03e8.467b.9ea2.f3ab38d75ae1..Panc.AdenoCA..DO49457	258	375	226	128	49	22	1	0	14	14	0	0	0	0	0
X25c32aca.6738.43ef.a103.243f2f9a3b43..Panc.AdenoCA..DO51492	65	48	0	109	22	28	5	0	35	0	0	0	21	0	7
X25cf7449.8c5b.403e.aa75.e2af158598e8..Panc.AdenoCA..DO33208	88	29	67	69	17	5	9	0	54	25	20	0	0	0	0
X28f41a20.b6d6.4ecc.888f.72f779ad9af7..Panc.AdenoCA..DO49442	3	81	97	112	17	24	22	0	29	12	13	0	0	60	42
X29a00d78.b9bb.4c6b.b142.d5b8bfa63455..Panc.AdenoCA..DO35144	120	102	98	94	6	0	0	11	29	11	12	50	0	0	0
X2b3837b3.ee29.4a08.848e.1206404da986..Panc.AdenoCA..DO49448	59	118	54	21	11	18	9	23	29	22	13	0	36	24	0
X2b6d4d66.7f0b.4bc0.b3d6.171956a937c5..Panc.AdenoCA..DO49166	49	86	1	27	8	0	0	0	34	16	3	34	18	10	2
X2bd9ccca.3fae.4b66.a762.6f30d6276222..Panc.AdenoCA..DO35152	141	314	17	89	45	75	13	0	0	57	9	31	0	3	3
X2bf5b018.9f19.4fbd.9e1f.7d958aabe5d1..Panc.AdenoCA..DO51489	0	0	0	55	19	51	46	0	88	32	42	132	93	18	9
X2c48eefe.2a08.47bf.8e4d.cbaab6777150..Panc.AdenoCA..DO35222	11	96	14	4	14	0	0	0	20	32	12	0	22	10	9
X2e43e0ca.54ea.482e.acf2.0048d9187a5c..Panc.AdenoCA..DO35258	93	84	42	119	20	5	5	77	23	11	4	51	20	0	0
X2fdfb06c.0d2f.4e1d.9756.bcb08a7f90af..Panc.AdenoCA..DO221546	37	9	37	0	22	86	24	30	22	31	11	0	48	25	15
X31c75873.abb4.4d88.9e2f.07497a6c892d..Panc.AdenoCA..DO35082	162	77	52	173	32	106	32	7	123	103	16	0	0	0	37
X32fa6457.c8bd.4d26.8106.925baf13df68..Panc.AdenoCA..DO51518	131	290	59	158	24	69	7	0	23	20	6	0	0	0	2
X33061bf5.9b99.4735.a810.f2d5eeef6873..Panc.AdenoCA..DO33392	52	77	67	28	31	0	31	0	27	23	12	0	12	12	1
