Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
V1	27	17	0	0	0	6	0	5	1	0	3	8	0	0	1	0	0	7	0	4
V2	8	0	4	12	85	114	0	0	9	0	23	18	1	43	0	0	17	0	1	0
V3	2	15	0	9	9	17	0	1	25	10	9	13	21	0	3	0	7	0	0	0
V4	5	35	0	33	2	3	1	10	12	8	4	0	0	5	0	0	3	0	0	0
V5	7	11	96	4	107	49	0	0	6	11	2	12	0	45	0	10	4	0	0	3
V6	212	0	19	11	53	31	52	0	4	0	0	0	24	0	0	4	0	24	2	2
V7	7	45	42	5	0	10	0	10	1	9	0	0	0	3	8	0	8	0	9	0
V8	1	41	4	5	0	0	3	14	2	0	0	0	0	2	3	2	0	0	0	0
V9	27	28	2	17	51	52	4	0	14	0	0	6	23	0	0	0	0	3	7	6
V10	0	128	17	15	11	11	3	33	0	52	17	5	0	0	9	2	12	0	7	0
V11	0	0	110	4	30	14	12	0	18	0	1	2	2	27	6	0	14	16	0	6
V12	7	164	0	3	22	20	20	46	2	67	0	0	0	0	0	6	0	0	15	0
V13	23	27	0	102	0	0	4	10	9	5	0	0	0	0	57	4	1	0	6	0
V14	17	39	48	8	0	1	86	21	0	22	0	0	0	0	0	22	4	0	12	0
V15	1	75	0	35	0	4	27	39	42	6	36	0	0	0	28	5	18	0	15	8
V16	34	12	97	0	4	16	0	0	38	0	29	18	27	0	11	9	3	0	0	4
V17	32	2	148	69	0	0	12	1	0	0	2	3	0	0	6	35	0	10	3	0
V18	28	92	75	0	11	9	21	36	0	0	0	0	2	14	9	0	0	0	7	4
V19	0	9	6	14	10	12	0	2	39	0	28	41	14	9	15	0	11	0	0	0
V20	108	5	74	27	0	4	34	0	24	0	26	3	27	20	6	31	2	0	3	0
V21	54	42	86	131	39	31	48	26	93	0	50	53	0	22	44	19	6	0	0	13
V22	32	1	0	0	50	17	0	5	1	0	3	0	0	0	0	0	0	8	0	4
V23	1	68	89	10	0	1	0	17	9	16	24	0	20	0	7	3	4	0	0	6
V24	12	0	6	3	99	108	0	0	3	4	14	9	3	62	0	0	3	0	0	0
V25	2	45	7	1	19	17	0	28	16	0	0	12	8	0	0	0	2	0	0	5
V26	5	2	15	18	16	17	66	0	0	0	0	1	0	1	0	0	1	0	0	0
V27	7	45	38	0	57	100	0	13	17	0	17	13	7	27	11	0	0	0	8	8
V28	34	0	2	0	22	25	0	0	47	0	32	41	0	0	23	5	40	0	4	0
V29	17	84	52	0	0	0	0	22	0	0	0	0	3	4	4	9	0	0	3	0
V30	52	162	76	5	28	15	0	39	5	23	0	7	6	0	5	0	5	0	15	8
V31	66	65	0	39	0	0	0	32	1	27	0	0	0	0	0	0	1	0	12	0
V32	335	131	98	2	0	0	125	31	4	0	0	0	0	0	0	60	6	0	7	4
V33	13	1	38	44	7	12	0	0	1	0	1	0	2	0	0	0	0	11	0	12
V34	23	263	0	4	22	6	0	105	0	124	0	0	0	0	0	0	0	0	16	0
V35	0	141	41	8	9	6	0	30	0	42	0	0	0	0	0	0	0	3	12	15
V36	99	0	7	7	0	0	0	0	16	0	0	15	21	0	1	12	0	13	0	0
V37	15	60	0	0	17	10	0	25	57	0	68	18	0	0	0	0	8	19	0	6
V38	14	22	0	63	33	18	2	1	6	22	0	0	0	0	0	2	0	2	0	11
V39	0	28	54	140	3	8	0	0	3	36	0	0	0	0	3	6	0	1	0	2
V40	44	0	5	49	9	18	9	5	0	0	5	1	0	2	22	0	0	0	3	1
V41	1	25	43	2	0	2	2	6	0	16	0	0	0	0	0	4	0	0	0	0
V42	0	48	131	42	8	0	0	8	6	0	4	9	0	0	18	12	4	0	8	3
V43	1	14	3	8	0	0	0	23	0	10	0	0	0	2	0	0	0	0	0	0
V44	17	0	0	29	0	6	0	0	0	0	5	0	0	0	1	2	0	0	0	0
V45	10	3	8	7	0	0	43	0	5	0	3	3	3	0	0	1	1	0	0	0
V46	3	75	26	10	0	0	0	37	13	7	3	1	1	0	0	5	4	0	13	0
V47	28	20	1	11	15	22	0	1	0	2	0	0	17	0	1	0	0	0	11	11
V48	39	102	0	7	5	0	0	22	34	0	29	25	4	0	0	0	0	0	0	1
V49	61	9	3	30	0	0	0	8	5	0	0	0	3	0	0	1	11	0	1	0
V50	7	1	17	12	0	0	5	3	0	0	0	0	1	0	8	0	0	0	0	0
V51	9	155	38	0	0	2	32	56	0	46	0	0	0	0	0	0	9	0	8	14
V52	22	14	15	8	0	1	0	0	14	3	11	0	0	7	0	0	6	0	2	1
V53	78	22	0	20	8	4	0	7	0	14	0	9	0	0	0	1	0	6	3	1
V54	9	58	57	44	9	21	0	15	10	1	1	0	0	0	6	30	0	2	5	7
V55	9	6	0	67	0	8	22	13	0	0	9	0	1	3	0	19	0	5	0	2
V56	112	0	2	5	0	0	0	1	33	3	6	23	38	0	0	0	13	6	1	0
V57	8	5	0	5	11	3	0	2	0	0	0	0	7	1	0	0	0	0	0	0
V58	35	0	74	19	52	21	89	0	17	0	4	0	31	0	14	0	16	0	0	2
V59	8	0	64	27	0	0	0	2	6	0	1	6	0	0	2	15	0	1	0	0
V60	1	4	0	31	36	21	0	5	9	16	0	14	0	18	0	6	1	0	0	0
V61	0	16	0	15	3	0	0	6	8	0	0	4	2	0	1	0	0	2	0	2
V62	65	0	0	65	30	0	13	0	64	0	35	22	32	54	6	8	27	0	0	0
V63	23	152	0	13	0	0	2	54	0	63	0	0	0	0	0	1	0	0	3	8
V64	5	34	55	77	10	2	0	1	9	29	0	1	0	0	27	0	6	0	0	0
V65	13	18	0	0	25	32	52	4	5	3	0	0	0	3	6	10	8	0	1	1
V66	158	25	2	0	10	23	0	2	0	0	0	0	8	5	0	0	0	5	11	0
V67	0	3	6	2	0	1	0	3	1	0	0	0	0	0	4	0	2	0	0	0
V68	5	68	78	0	74	39	31	15	0	26	26	0	0	0	0	0	0	0	8	0
V69	11	23	0	0	8	13	0	4	40	0	33	30	36	0	11	0	0	0	0	4
V70	15	21	20	9	0	0	0	3	0	2	3	1	0	0	0	0	0	2	4	0
V71	0	1	2	3	0	0	0	0	11	0	0	8	15	0	0	0	1	0	0	0
V72	0	5	106	14	3	0	0	0	35	4	29	7	0	0	17	5	25	0	0	5
V73	6	1	25	0	52	20	0	0	25	0	23	7	0	0	5	0	7	5	1	10
V74	0	2	0	1	0	0	0	2	31	0	37	23	22	1	0	0	18	0	0	8
V75	0	34	12	3	0	2	26	19	18	0	3	0	0	10	0	13	2	0	5	0
V76	0	8	0	4	64	75	11	7	14	39	12	25	9	43	0	0	2	0	0	8
V77	0	47	0	18	8	13	6	7	10	0	10	9	0	0	0	5	13	0	0	6
V78	37	44	3	85	0	0	0	14	15	12	8	4	0	5	22	21	0	3	0	0
V79	130	31	137	69	15	0	47	7	0	0	0	0	0	0	3	5	3	22	7	2
V80	11	18	3	43	66	25	0	4	0	0	9	9	0	0	4	0	6	0	0	7
V81	23	1	5	3	0	0	0	0	3	0	13	13	22	0	2	0	2	0	2	1
V82	3	63	0	22	1	0	0	8	10	0	10	4	0	1	8	0	14	0	0	0
V83	4	92	0	11	40	16	1	34	6	2	0	15	0	0	0	0	1	29	5	27
V84	4	33	0	0	0	0	0	21	8	4	5	4	0	0	0	2	0	0	0	0
V85	70	0	28	0	8	12	62	0	8	0	5	2	11	13	0	3	3	2	2	4
V86	43	0	0	60	31	23	0	0	7	0	14	0	6	0	3	0	11	5	0	7
V87	0	12	20	38	11	29	0	2	0	3	11	0	0	0	0	5	0	9	0	0
V88	17	10	20	26	0	5	0	0	10	0	5	3	8	0	4	0	0	0	1	0
V89	47	1	0	40	0	0	0	8	20	2	5	11	0	0	6	0	9	0	4	2
V90	120	13	1	0	0	0	0	0	4	0	3	1	4	0	1	0	0	0	0	0
V91	10	122	5	57	13	11	0	43	12	46	19	1	0	8	14	0	0	0	10	0
V92	438	0	18	3	0	12	0	0	0	0	0	0	28	10	0	14	2	3	0	0
V93	21	0	0	16	0	26	0	0	7	0	0	11	9	0	0	0	0	13	0	1
V94	45	73	3	0	4	23	0	4	0	0	0	2	0	20	0	0	0	2	11	0
V95	9	8	0	2	0	7	0	0	14	0	0	27	0	0	0	0	21	0	0	3
V96	81	22	34	15	4	0	0	5	0	0	0	8	0	3	0	7	0	7	0	0
V97	302	0	20	16	2	3	86	0	0	0	16	7	12	7	7	11	3	39	0	0
V98	3	5	4	0	2	5	0	10	4	1	0	0	0	20	0	0	0	0	0	0
V99	34	15	66	19	0	0	0	2	10	0	5	9	0	1	11	20	5	0	5	0
V100	8	0	12	51	85	40	82	7	15	19	0	0	0	9	0	0	9	38	0	0
