NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	58.588	22.678	13.814	14.472	0.116	0.986	100000.0
2	56.149	22.023	13.425	14.369	0.114	0.985	30000.0
3	58.619	22.56	13.575	14.08	0.117	0.987	70000.0
4	58.326	21.914	13.605	13.841	0.112	0.988	30000.0
5	54.003	20.321	12.59	12.786	0.107	0.989	50000.0
6	57.783	22.26	13.621	14.228	0.114	0.986	50000.0
7	57.178	22.186	13.543	13.993	0.114	0.987	40000.0
8	57.826	22.198	13.519	14.172	0.113	0.986	30000.0
9	58.164	22.093	13.612	13.952	0.112	0.987	50000.0
10	56.819	21.932	13.237	13.749	0.113	0.987	40000.0
