MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
3:Del:R:0	2.16E-04	1.92E-04	4.89E-04	7.96E-09	0.00E+00	3.23E-03	0.00E+00	6.08E-04	4.45E-08	4.44E-03	6.65E-08	8.02E-03	3.20E-05	2.77E-03
3:Del:R:1	1.04E-03	1.64E-04	7.48E-04	2.12E-05	1.52E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.10E-02	2.33E-03	3.65E-04	3.13E-04	7.19E-03
3:Del:R:2	5.56E-04	4.38E-04	1.79E-04	1.00E-08	2.80E-04	5.97E-04	1.63E-04	1.85E-04	1.63E-08	3.77E-03	1.65E-03	4.20E-04	3.59E-04	1.69E-03
3:Del:R:3	3.61E-04	8.08E-08	3.06E-08	0.00E+00	8.23E-05	3.53E-05	7.06E-09	8.62E-04	2.10E-04	5.69E-04	2.44E-07	0.00E+00	3.05E-04	7.08E-04
3:Del:R:4	2.61E-08	3.42E-08	2.37E-08	1.66E-08	4.57E-08	3.41E-08	1.20E-08	6.96E-08	2.66E-08	7.61E-08	7.38E-08	9.35E-08	1.12E-07	1.62E-07
3:Del:R:5	2.61E-08	3.42E-08	2.37E-08	1.66E-08	4.57E-08	3.41E-08	1.20E-08	6.96E-08	2.66E-08	7.61E-08	7.38E-08	9.35E-08	1.12E-07	1.62E-07
4:Del:R:0	0.00E+00	0.00E+00	4.12E-05	1.46E-06	0.00E+00	2.98E-03	3.66E-04	4.35E-04	1.39E-03	2.18E-03	3.93E-03	2.06E-03	6.12E-04	6.26E-04
4:Del:R:1	5.85E-04	2.94E-04	3.55E-08	4.70E-04	1.54E-03	3.96E-04	0.00E+00	1.31E-03	3.22E-04	4.48E-05	1.94E-03	3.65E-03	1.60E-03	5.89E-04
4:Del:R:2	8.68E-05	5.13E-08	5.10E-05	2.97E-08	0.00E+00	1.07E-04	2.01E-08	2.30E-04	2.85E-08	3.45E-05	4.11E-06	1.05E-03	4.14E-04	4.82E-04
4:Del:R:3	2.61E-08	3.42E-08	2.37E-08	1.66E-08	4.57E-08	3.41E-08	1.20E-08	6.96E-08	2.66E-08	7.61E-08	7.38E-08	9.35E-08	1.12E-07	1.62E-07
4:Del:R:4	2.61E-08	3.42E-08	2.37E-08	1.66E-08	4.57E-08	3.41E-08	1.20E-08	6.96E-08	2.66E-08	7.61E-08	7.38E-08	9.35E-08	1.12E-07	1.62E-07
4:Del:R:5	2.61E-08	3.42E-08	2.37E-08	1.66E-08	4.57E-08	3.41E-08	1.20E-08	6.96E-08	2.66E-08	7.61E-08	7.38E-08	9.35E-08	1.12E-07	1.62E-07
5:Del:R:0	3.18E-07	2.54E-03	4.98E-09	1.10E-29	2.09E-03	4.07E-02	1.07E-02	8.93E-26	1.39E-03	1.01E-01	1.07E-02	2.54E-02	7.68E-03	2.08E-02
5:Del:R:1	1.29E-03	4.60E-07	2.67E-04	5.69E-10	2.64E-04	0.00E+00	1.40E-04	6.45E-04	4.34E-04	7.75E-03	4.67E-03	5.21E-03	5.02E-04	5.67E-03
5:Del:R:2	1.49E-07	1.07E-07	2.44E-08	4.91E-08	1.13E-04	3.02E-04	0.00E+00	7.22E-04	2.58E-08	5.22E-05	1.64E-07	2.74E-04	1.38E-08	3.21E-04
5:Del:R:3	4.43E-09	1.06E-02	8.45E-08	1.47E-07	8.09E-07	1.40E-46	5.82E-02	2.35E-07	1.12E-07	8.09E-02	7.91E-02	9.24E-04	5.51E-07	6.29E-02
5:Del:R:4	6.53E-04	6.95E-04	6.47E-05	8.10E-08	1.54E-04	6.58E-04	3.38E-04	4.31E-04	2.63E-04	5.23E-04	4.23E-04	8.46E-04	1.09E-03	1.27E-03
5:Del:R:5	2.61E-08	3.42E-08	2.37E-08	1.66E-08	4.57E-08	3.41E-08	1.20E-08	6.96E-08	2.66E-08	7.61E-08	7.38E-08	9.35E-08	1.12E-07	1.62E-07
2:Ins:R:0	1.50E-04	1.21E-03	2.90E-05	1.04E-03	1.68E-04	5.05E-05	0.00E+00	1.21E-04	1.50E-03	0.00E+00	0.00E+00	1.78E-06	1.06E-03	6.86E-03
2:Ins:R:1	2.79E-04	7.40E-05	1.32E-08	6.64E-05	7.81E-04	1.22E-03	1.30E-06	9.01E-04	1.25E-08	8.36E-04	8.12E-05	4.18E-04	1.76E-03	5.73E-04
2:Ins:R:2	3.08E-04	7.55E-09	8.43E-05	2.20E-04	2.36E-04	1.42E-05	7.19E-09	3.67E-04	8.04E-09	1.75E-04	9.21E-04	2.50E-03	1.33E-04	1.10E-03
2:Ins:R:3	6.56E-05	4.83E-07	1.56E-04	2.56E-08	7.64E-09	2.20E-05	2.18E-07	8.44E-04	3.61E-08	1.07E-07	1.33E-03	5.79E-04	1.36E-03	7.92E-04
