NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	64.409	26.849	17.28	17.498	0.158	0.978	30000.0
2	65.842	27.652	17.281	17.754	0.163	0.978	30000.0
3	68.466	28.532	18.821	19.011	0.16	0.975	20000.0
4	66.617	27.556	18.122	18.296	0.151	0.977	40000.0
5	69.662	28.514	19.994	19.618	0.154	0.974	40000.0
6	70.613	29.043	19.737	19.322	0.158	0.975	50000.0
7	65.632	27.294	17.845	17.639	0.154	0.98	30000.0
8	62.151	26.433	16.151	17.49	0.16	0.978	20000.0
9	61.098	25.909	16.176	16.751	0.157	0.981	30000.0
10	58.829	24.809	14.86	15.936	0.155	0.981	20000.0
