NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	87.654	31.341	23.365	21.549	0.19	0.968	50000.0
2	86.262	31.165	22.937	21.41	0.191	0.969	30000.0
3	86.714	31.098	23.346	21.588	0.19	0.968	20000.0
4	87.181	31.302	23.492	21.862	0.188	0.967	20000.0
5	82.96	30.134	22.006	20.741	0.186	0.969	50000.0
6	86.795	31.503	23.067	21.52	0.194	0.969	40000.0
7	85.641	30.791	23.16	21.338	0.18	0.968	20000.0
8	88.293	31.876	23.838	22.566	0.194	0.964	30000.0
9	87.485	31.391	22.823	21.277	0.191	0.969	30000.0
10	85.781	31.22	23.102	21.646	0.196	0.967	20000.0
