Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.65,0.6,NO,N/A,66.99%,74.43%,143.5%,63.01%,93.99,0.5321,1.4334,0.241,0.526,0.736,0.393
3,0.77,0.59,NO,N/A,52.45%,64.2%,142.62%,50.86%,92.71,0.4233,1.3895,0.172,0.549,0.81,0.395
4,0.82,0.66,NO,N/A,39.97%,52.84%,118.0%,40.28%,94.24,0.3398,1.0778,0.107,0.519,0.882,0.405
5,0.8,0.59,NO,N/A,29.36%,37.35%,119.62%,25.06%,98.89,0.2555,1.089,0.062,0.541,0.932,0.384
6*,1.0,1.0,YES,Most Stab Sigs,16.52%,27.27%,75.7%,17.17%,64.86,0.1531,0.8629,0.021,0.207,0.977,0.768
7,0.79,-0.36,NO,N/A,14.94%,25.87%,76.25%,15.1%,58.94,0.1584,0.8436,0.019,0.192,0.979,0.782
8,0.64,-0.49,NO,N/A,12.97%,24.99%,65.25%,14.4%,47.68,0.1529,0.8583,0.016,0.109,0.983,0.877
9,0.62,-0.47,NO,N/A,11.63%,22.37%,64.76%,13.12%,50.88,0.1434,0.7572,0.013,0.131,0.986,0.854
10,0.52,-0.56,NO,N/A,11.39%,22.36%,68.91%,12.87%,51.88,0.1447,0.7372,0.013,0.138,0.986,0.845
11,0.62,-0.4,NO,N/A,9.02%,19.59%,56.69%,10.6%,41.1,0.1347,0.7276,0.009,0.088,0.99,0.899
12,0.48,-0.58,NO,N/A,8.81%,19.52%,57.18%,10.6%,42.64,0.1324,0.6452,0.009,0.086,0.991,0.905
13,0.51,-0.38,NO,N/A,7.86%,18.22%,62.76%,9.61%,41.06,0.125,0.6079,0.007,0.078,0.992,0.91
14,0.48,-0.7,NO,N/A,7.96%,17.58%,57.56%,9.3%,40.29,0.124,0.6893,0.007,0.084,0.992,0.904
15,0.47,-0.8,NO,N/A,7.28%,16.34%,61.81%,8.66%,44.11,0.1199,0.6707,0.007,0.101,0.992,0.885
16,0.45,-0.64,NO,N/A,6.74%,16.39%,57.79%,8.02%,42.29,0.1135,0.6,0.006,0.089,0.994,0.899
17,0.34,-0.54,NO,N/A,7.05%,16.32%,68.79%,8.72%,49.0,0.1193,0.6682,0.006,0.121,0.993,0.864
18,0.33,-0.78,NO,N/A,6.67%,16.57%,56.8%,8.68%,41.06,0.1161,0.5615,0.006,0.075,0.994,0.919
19,0.33,-0.68,NO,N/A,6.25%,15.19%,54.12%,7.59%,36.56,0.1116,0.538,0.005,0.069,0.995,0.921
20,0.29,-0.85,NO,N/A,5.95%,14.9%,61.74%,7.58%,37.4,0.1074,0.5304,0.004,0.061,0.995,0.934
