MutationType	ID83A	ID83B
1:Del:C:0	0.08049447648227215	0.029179742746055125
1:Del:C:1	0.023394009470939635	0.01117829503491521
1:Del:C:2	0.0015736439730972052	0.0008255602104430438
1:Del:C:3	0.004139619553461671	0.0023584763024700806
1:Del:C:4	0.0043902906589210035	0.0013327722017962174
1:Del:C:5	0.003793762548593804	0.001226822678401618
1:Del:T:0	0.03337168591096997	0.011912912968546152
1:Del:T:1	0.010562688345089555	0.004370998925878666
1:Del:T:2	0.018270907830446957	0.00846428689546883
1:Del:T:3	0.03115893080830574	0.014409189904108643
1:Del:T:4	0.025848320126533507	0.03178189005702734
1:Del:T:5	0.1418888599611819	0.07936676628887654
1:Ins:C:0	0.00033410042485897405	0.0008160489116452396
1:Ins:C:1	0.0006632115953834727	0.00021740302073514073
1:Ins:C:2	0.00033197922782086665	0.000405286043056563
1:Ins:C:3	0.0003409237448167346	0.005108793615363538
1:Ins:C:4	0.00268644904717803	0.0011580368747651447
1:Ins:C:5	0.007802568888291716	0.0007620885654475273
1:Ins:T:0	0.004122698516584933	0.0017252305086003616
1:Ins:T:1	0.003933644748758525	0.0012751534609925842
1:Ins:T:2	0.0006087151734391228	0.0007718245193245821
1:Ins:T:3	0.0014550207066349684	0.00034361901883306345
1:Ins:T:4	0.0047645170474424955	0.0008686658614603715
1:Ins:T:5	0.19507977962493897	0.008570834410414818
2:Del:R:0	0.006317231035791337	0.001610366156557852
2:Del:R:1	0.00369532541371882	0.0018430669326335192
2:Del:R:2	0.0006764324207324535	2.76202889244459e-05
2:Del:R:3	0.03864715220406652	0.01738201270348263
2:Del:R:4	0.00023632298652458416	3.715549778675609e-05
2:Del:R:5	0.0001271922767983824	0.00012246444443935188
3:Del:R:0	0.003626306843943894	0.00170610763332526
3:Del:R:1	0.0036590108647942543	0.00043049770512517684
3:Del:R:2	0.0007758045097574495	0.0004281480594030995
3:Del:R:3	0.0004110706111532636	0.00011104731481346164
3:Del:R:4	3.497233478810813e-07	2.6625929763213205e-07
3:Del:R:5	3.497233478810813e-07	2.6625929763213205e-07
4:Del:R:0	0.001898049283772707	0.0010402279265690594
4:Del:R:1	0.002205560577567667	0.0006707178490614751
4:Del:R:2	0.00022330228637770232	5.753904831315992e-05
4:Del:R:3	3.497233478810813e-07	2.6625929763213205e-07
4:Del:R:4	3.497233478810813e-07	2.6625929763213205e-07
4:Del:R:5	3.497233478810813e-07	2.6625929763213205e-07
5:Del:R:0	0.04632559716701508	0.04257275890558958
5:Del:R:1	0.0015109031868632884	0.0004789444450427283
5:Del:R:2	0.0003603952245612163	5.757733173128443e-05
5:Del:R:3	2.49199470658823e-07	0.4169928878545761
5:Del:R:4	0.00032030471249555603	0.0021258822875097395
5:Del:R:5	3.497233478810813e-07	2.6625929763213205e-07
2:Ins:R:0	0.0014495185925625265	0.000728848591383624
2:Ins:R:1	0.0006388907801010646	0.0007354749189744325
2:Ins:R:2	0.0004106321663130075	0.00012275917594131158
2:Ins:R:3	0.00020951678545522157	0.0003879757727435873
2:Ins:R:4	0.0011545772023964674	7.715096944291844e-05
2:Ins:R:5	0.006929537001997233	0.0011180667705048108
3:Ins:R:0	9.620129337406524e-05	1.2751524464116315e-05
3:Ins:R:1	0.0005982563307043165	0.00012942904249708677
3:Ins:R:2	0.033701472776010634	0.016714082189719193
3:Ins:R:3	3.497233478810813e-07	2.6625929763213205e-07
3:Ins:R:4	6.972006966918798e-05	3.819214855003139e-05
3:Ins:R:5	0.000624057583627291	6.402638104336944e-05
4:Ins:R:0	0.0001660323869366209	0.0003773986035433552
4:Ins:R:1	0.000451101380167529	0.00032977384071131155
4:Ins:R:2	3.400609341497329e-05	1.6545843051218867e-07
4:Ins:R:3	7.176030268851718e-06	5.369123314480362e-05
4:Ins:R:4	0.00018760472339636182	1.217290534683002e-05
4:Ins:R:5	0.0005477383878314867	0.00035477722978498604
5:Ins:R:0	0.00012132196067398127	4.509108557648744e-08
5:Ins:R:1	0.0025612486759200694	0.0009222831048072422
5:Ins:R:2	7.265036141390624e-05	0.0001050593786690257
5:Ins:R:3	5.526771837764955e-05	1.192165770547149e-07
5:Ins:R:4	0.1234707796946168	0.05623324217490513
5:Ins:R:5	6.290546604752479e-05	7.666100148284726e-06
2:Del:M:1	0.002124918519984931	0.0023365703062154354
3:Del:M:1	0.002662571019027382	0.0009161276522146267
3:Del:M:2	0.0020720210392028092	0.00021055973005825734
4:Del:M:1	0.001538644457468763	0.001044276224274654
4:Del:M:2	0.0008277399145299568	0.0011528706416733315
4:Del:M:3	0.0007844660023692996	0.0002955456799863754
5:Del:M:1	0.06590438038110732	0.017343614681158213
5:Del:M:2	0.023326806258410215	0.009895087871700525
5:Del:M:3	0.008213381189852953	0.005638054222799838
5:Del:M:4	0.004559805989265442	0.0006383776624204529
5:Del:M:5	0.0023355080829276175	0.17587618082761763
