MutationType	ID83A	ID83B
1:Del:C:0	9.68E-03	1.08E-02
1:Del:C:1	2.48E-03	2.91E-03
1:Del:C:2	1.38E-04	2.41E-04
1:Del:C:3	2.68E-04	5.26E-04
1:Del:C:4	4.07E-04	5.55E-04
1:Del:C:5	3.79E-04	5.66E-04
1:Del:T:0	3.83E-03	4.40E-03
1:Del:T:1	1.21E-03	1.45E-03
1:Del:T:2	1.57E-03	1.84E-03
1:Del:T:3	2.90E-03	3.89E-03
1:Del:T:4	1.35E-03	1.83E-03
1:Del:T:5	2.00E-02	2.60E-02
1:Ins:C:0	9.75E-05	1.84E-04
1:Ins:C:1	6.71E-05	9.14E-05
1:Ins:C:2	9.45E-05	1.46E-04
1:Ins:C:3	7.23E-05	4.44E-04
1:Ins:C:4	1.76E-04	3.12E-04
1:Ins:C:5	5.67E-04	1.96E-04
1:Ins:T:0	4.42E-04	4.35E-04
1:Ins:T:1	4.87E-04	5.64E-04
1:Ins:T:2	8.56E-05	1.89E-04
1:Ins:T:3	1.25E-04	8.58E-05
1:Ins:T:4	3.04E-04	1.83E-04
1:Ins:T:5	1.27E-02	2.19E-03
2:Del:R:0	6.11E-04	7.68E-04
2:Del:R:1	2.93E-04	2.87E-04
2:Del:R:2	5.03E-05	2.76E-05
2:Del:R:3	6.17E-03	8.85E-03
2:Del:R:4	3.58E-05	2.40E-05
2:Del:R:5	2.41E-05	4.20E-05
3:Del:R:0	6.10E-04	6.54E-04
3:Del:R:1	2.05E-04	1.18E-04
3:Del:R:2	1.06E-04	1.51E-04
3:Del:R:3	6.24E-05	4.42E-05
3:Del:R:4	7.04E-09	7.04E-09
3:Del:R:5	7.04E-09	7.04E-09
4:Del:R:0	2.26E-04	2.03E-04
4:Del:R:1	1.30E-04	1.70E-04
4:Del:R:2	4.70E-05	2.62E-05
4:Del:R:3	7.04E-09	7.04E-09
4:Del:R:4	7.04E-09	7.04E-09
4:Del:R:5	7.04E-09	7.04E-09
5:Del:R:0	4.43E-03	4.51E-03
5:Del:R:1	1.65E-04	1.64E-04
5:Del:R:2	6.50E-05	5.75E-05
5:Del:R:3	1.30E-08	4.23E-02
5:Del:R:4	7.54E-05	1.77E-04
5:Del:R:5	7.04E-09	7.04E-09
2:Ins:R:0	1.93E-04	3.00E-04
2:Ins:R:1	9.50E-05	1.89E-04
2:Ins:R:2	5.27E-05	6.79E-05
2:Ins:R:3	5.34E-05	7.37E-05
2:Ins:R:4	1.47E-04	4.95E-05
2:Ins:R:5	3.41E-04	3.07E-04
3:Ins:R:0	2.48E-05	1.26E-05
3:Ins:R:1	8.19E-05	4.42E-05
3:Ins:R:2	5.64E-03	7.66E-03
3:Ins:R:3	7.04E-09	7.04E-09
3:Ins:R:4	1.97E-05	2.77E-05
3:Ins:R:5	5.66E-05	4.55E-05
4:Ins:R:0	6.30E-05	1.20E-04
4:Ins:R:1	4.49E-05	6.84E-05
4:Ins:R:2	1.43E-05	3.74E-08
4:Ins:R:3	6.96E-06	1.88E-05
4:Ins:R:4	2.47E-05	8.12E-06
4:Ins:R:5	7.13E-05	1.14E-04
5:Ins:R:0	2.72E-05	2.43E-08
5:Ins:R:1	3.84E-04	4.18E-04
5:Ins:R:2	3.51E-05	5.18E-05
5:Ins:R:3	1.93E-05	4.12E-08
5:Ins:R:4	2.00E-02	2.87E-02
5:Ins:R:5	1.97E-05	7.59E-06
2:Del:M:1	1.58E-04	2.12E-04
3:Del:M:1	3.99E-04	4.63E-04
3:Del:M:2	1.40E-04	1.00E-04
4:Del:M:1	2.04E-04	1.94E-04
4:Del:M:2	1.36E-04	2.49E-04
4:Del:M:3	6.96E-05	8.08E-05
5:Del:M:1	6.41E-03	7.61E-03
5:Del:M:2	1.99E-03	2.61E-03
5:Del:M:3	1.04E-03	1.12E-03
5:Del:M:4	4.14E-04	3.31E-04
5:Del:M:5	4.78E-04	1.74E-02
