Samples	ID83A	ID83B	ID83C	ID83D	ID83E
V1	1.42E+00	1.96E+00	3.13E+00	1.24E+00	1.77E+00
V2	4.85E+00	4.44E+00	3.02E+00	2.36E+00	7.92E-01
V3	2.65E+00	2.03E+00	7.16E-01	2.35E+00	1.31E+00
V4	9.67E-01	1.42E+00	1.95E+00	1.19E+00	1.54E+00
V5	2.28E+00	2.23E+00	9.75E-01	1.94E+00	2.12E+00
V6	1.75E+00	2.47E+00	3.48E+00	8.49E-01	2.45E+00
V7	2.17E+00	4.81E+00	2.02E+00	1.85E+00	8.72E-01
V8	4.51E+00	1.57E+00	1.75E+00	5.21E-01	3.95E+00
V9	2.86E+00	2.71E+00	2.82E+00	7.60E-01	2.55E+00
V10	3.87E+00	4.08E+00	0.00E+00	9.60E-01	2.98E-01
V11	0.00E+00	1.39E+00	2.66E+00	0.00E+00	1.99E+00
V12	3.43E+00	1.81E+00	7.46E-01	3.00E+00	8.00E-01
V13	1.04E+01	2.67E+00	2.57E+00	1.42E+00	1.02E+01
V14	7.55E+00	0.00E+00	2.59E+00	2.77E-01	6.80E+00
V15	1.45E+00	1.81E+00	0.00E+00	2.01E+00	6.46E-01
V16	1.94E+00	1.76E+00	2.20E+00	1.51E+00	1.84E+00
V17	1.94E+00	2.08E+00	9.45E-01	8.82E-01	1.13E+00
V18	0.00E+00	8.14E-01	3.94E-01	9.83E-01	1.08E+00
V19	1.78E+00	8.60E-01	1.67E+00	8.88E-01	1.53E+00
V20	3.40E-01	2.47E+00	2.57E+00	9.36E-01	0.00E+00
V21	1.66E+00	9.75E-01	1.80E+00	1.01E+00	9.45E-01
V22	3.34E+00	7.75E-01	0.00E+00	1.63E+00	2.96E+00
V23	3.99E+00	1.44E+00	4.73E+00	2.09E+00	5.29E+00
V24	5.81E-01	0.00E+00	1.80E+00	2.42E+00	2.81E+00
V25	4.22E-01	2.22E+00	2.10E+00	3.33E-01	1.00E+00
V26	4.73E+00	1.71E+00	4.91E+00	5.17E-01	2.20E+00
V27	7.37E-01	2.40E+00	1.73E+00	2.97E+00	1.48E+00
V28	0.00E+00	3.89E-01	6.46E-01	8.33E-01	0.00E+00
V29	6.75E+00	3.89E+00	4.85E+00	1.93E+00	6.37E+00
V30	9.78E-01	1.25E+00	8.03E-01	8.98E-01	1.25E+00
V31	1.05E+00	0.00E+00	4.11E+00	5.97E-01	4.24E+00
V32	8.33E-01	1.68E+00	1.78E+00	0.00E+00	5.47E-01
V33	4.26E+00	7.18E-01	8.67E-01	2.60E-01	4.25E+00
V34	3.08E+00	3.96E-01	3.45E+00	2.77E+00	2.08E+00
V35	1.70E+00	7.77E-01	1.26E+00	1.68E+00	2.75E+00
V36	1.52E+00	0.00E+00	3.22E+00	2.22E+00	3.10E+00
V37	2.23E+00	1.61E+00	1.10E+00	4.73E-01	4.96E-01
V38	1.69E+00	9.33E-01	1.65E+00	1.58E+00	0.00E+00
V39	1.06E+00	2.64E+00	1.86E+00	4.58E-01	2.35E+00
V40	1.70E+00	1.82E+00	1.55E+00	1.84E+00	3.31E+00
V41	2.68E+00	2.94E+00	6.51E-01	7.16E-01	2.76E+00
V42	2.00E+00	2.30E+00	0.00E+00	2.34E+00	1.71E+00
V43	4.67E+00	5.04E+00	5.86E-01	3.27E-01	1.43E+00
V44	2.29E+00	8.09E-01	2.47E+00	6.18E-01	5.42E-01
V45	6.32E-01	1.43E+00	2.24E+00	0.00E+00	1.84E+00
V46	2.99E+00	3.44E+00	7.03E-01	2.32E+00	3.64E+00
V47	2.39E+00	2.15E+00	6.74E-01	1.49E+00	0.00E+00
V48	2.58E+00	4.33E-01	3.09E+00	5.12E-01	4.19E+00
V49	3.64E+00	4.49E+00	3.14E-01	2.42E+00	8.54E-01
V50	4.27E-01	3.23E+00	2.30E+00	8.23E-01	1.84E+00
V51	3.67E+00	6.53E-01	1.45E+00	1.40E+00	1.89E+00
V52	0.00E+00	1.38E+00	2.85E+00	2.68E+00	9.21E-01
V53	5.55E+00	4.58E-01	5.83E+00	1.42E+00	3.20E+00
V54	0.00E+00	1.34E+00	0.00E+00	2.19E+00	2.62E+00
V55	1.69E+00	2.01E+00	1.09E+00	8.70E-01	1.05E+00
V56	5.37E+00	2.13E-01	1.75E+00	3.16E+00	6.24E+00
V57	8.17E-01	1.56E+00	5.12E-01	2.95E+00	2.40E+00
V58	6.10E+00	4.58E+00	1.84E+00	2.32E+00	4.26E+00
V59	3.72E+00	5.62E-01	2.77E+00	7.81E-01	2.30E+00
V60	2.02E+00	2.40E+00	9.40E-01	2.31E+00	1.59E+00
V61	9.07E-01	1.25E+00	3.24E+00	0.00E+00	4.40E+00
V62	2.73E+00	2.23E+00	2.37E+00	3.19E+00	3.42E+00
V63	2.28E+00	1.05E+00	2.44E+00	2.06E+00	1.00E-01
V64	6.12E+00	2.68E+00	1.98E+00	1.71E+00	6.20E+00
V65	3.86E+00	2.02E+00	2.97E+00	3.30E+00	7.37E-01
V66	1.61E+00	2.69E+00	1.57E+00	2.78E+00	3.35E-01
V67	3.36E+00	1.10E+00	2.34E+00	1.54E+00	5.22E-01
V68	1.09E+00	1.15E+00	1.07E+00	0.00E+00	1.33E+00
V69	1.76E+00	1.93E+00	2.58E-01	1.46E+00	0.00E+00
V70	8.33E-01	6.37E-01	1.22E+00	2.10E+00	6.70E-01
V71	1.00E+00	6.57E-01	5.78E-01	0.00E+00	1.45E+00
V72	2.75E+00	1.20E+00	0.00E+00	1.27E+00	3.77E+00
V73	9.21E+00	0.00E+00	8.59E-01	3.06E-01	9.26E+00
V74	1.33E+00	3.29E+00	1.80E+00	1.79E+00	2.60E+00
V75	1.31E+00	1.44E+00	1.73E+00	1.01E+00	8.49E-01
V76	3.88E+00	1.05E+00	3.00E-01	1.47E+00	3.87E+00
V77	1.57E+00	1.50E+00	2.60E-01	3.79E-01	1.04E+00
V78	2.50E+00	4.16E+00	1.86E+00	3.27E+00	2.44E+00
V79	0.00E+00	6.19E-01	5.63E-01	2.44E+00	2.14E+00
V80	6.00E-01	2.97E+00	4.59E+00	1.89E+00	3.97E+00
V81	2.85E+00	3.34E+00	2.09E+00	3.06E-01	1.47E+00
V82	8.00E-01	7.61E-01	3.42E-01	1.72E+00	1.88E+00
V83	3.20E+00	2.05E+00	0.00E+00	1.53E-01	3.69E+00
V84	7.95E-01	0.00E+00	1.99E+00	1.23E+00	1.05E+00
V85	0.00E+00	5.77E-01	3.06E-01	7.02E-01	1.18E+00
V86	2.77E+00	1.68E+00	9.40E-01	2.01E+00	3.37E+00
V87	3.16E+00	4.07E-01	2.10E+00	2.87E+00	7.63E-01
V88	2.07E+00	1.22E+00	1.61E+00	9.20E-01	1.68E+00
V89	2.13E+00	1.98E+00	5.73E-01	6.18E-01	1.00E+00
V90	4.53E+00	3.59E+00	4.60E+00	4.31E+00	9.52E-01
V91	1.35E+00	1.38E+00	1.53E+00	7.06E-01	1.26E+00
V92	4.79E+00	1.54E+00	1.53E+00	2.41E+00	4.44E+00
V93	3.33E+00	1.10E+00	0.00E+00	1.96E+00	2.50E+00
V94	9.89E-01	1.48E+00	3.29E+00	1.32E+00	1.74E+00
V95	5.62E-01	0.00E+00	9.55E-01	1.63E-01	1.17E+00
V96	4.87E+00	2.43E+00	3.58E+00	5.25E+00	6.36E-01
V97	3.81E+00	1.12E+00	7.33E-01	1.59E+00	3.74E+00
