Samples	ID83A	ID83B
V1	4.13E+00	4.13E+00
V2	0.00E+00	0.00E+00
V3	2.03E+00	2.03E+00
V4	1.96E+00	1.96E+00
V5	1.89E+00	1.89E+00
V6	3.06E+01	3.06E+01
V7	1.92E+00	1.92E+00
V8	1.21E+00	1.21E+00
V9	3.75E+00	3.82E+00
V10	8.41E+00	8.41E+00
V11	0.00E+00	0.00E+00
V12	6.24E+00	6.24E+00
V13	4.14E+00	4.14E+00
V14	9.05E+00	9.05E+00
V15	5.99E+00	5.99E+00
V16	4.36E+00	4.36E+00
V17	1.04E+00	1.04E+00
V18	7.00E+00	7.00E+00
V19	1.35E+00	1.35E+00
V20	1.49E+01	1.49E+01
V21	3.67E+00	3.67E+00
V22	2.99E+00	2.99E+00
V23	3.54E+00	3.54E+00
V24	5.93E-01	5.93E-01
V25	1.91E+00	1.91E+00
V26	7.90E-01	7.90E-01
V27	2.54E+00	2.54E+00
V28	0.00E+00	0.00E+00
V29	6.72E+00	6.72E+00
V30	7.98E+00	7.98E+00
V31	7.99E+00	7.99E+00
V32	7.37E+01	7.37E+01
V33	7.18E-01	7.18E-01
V34	3.48E+00	3.48E+00
V35	4.05E+00	4.05E+00
V36	1.67E+01	1.67E+01
V37	3.46E+00	3.46E+00
V38	2.62E+00	2.62E+00
V39	5.91E+00	5.91E+00
V40	2.37E+00	2.37E+00
V41	2.73E+00	2.73E+00
V42	3.60E+00	3.60E+00
V43	6.83E-01	6.83E-01
V44	5.17E-01	5.17E-01
V45	1.90E+00	1.90E+00
V46	3.66E+00	3.66E+00
V47	4.27E+00	4.27E+00
V48	5.72E+00	5.72E+00
V49	1.02E+01	1.02E+01
V50	1.19E+00	1.19E+00
V51	2.30E+00	2.30E+00
V52	2.71E+00	2.71E+00
V53	8.79E+00	8.79E+00
V54	6.08E+00	6.08E+00
V55	2.80E+00	2.80E+00
V56	1.86E+01	1.86E+01
V57	1.67E+00	1.67E+00
V58	0.00E+00	0.00E+00
V59	1.75E+00	1.75E+00
V60	2.53E+00	2.53E+00
V61	1.43E+00	1.43E+00
V62	0.00E+00	0.00E+00
V63	2.78E+00	2.78E+00
V64	4.93E+00	4.93E+00
V65	2.61E+00	2.61E+00
V66	2.13E+01	2.13E+01
V67	1.15E+00	1.15E+00
V68	5.73E+00	5.73E+00
V69	5.17E+00	5.17E+00
V70	3.12E+00	3.18E+00
V71	9.45E-01	9.45E-01
V72	1.52E+00	1.52E+00
V73	5.37E-01	5.37E-01
V74	1.30E+00	1.30E+00
V75	2.92E+00	2.92E+00
V76	3.62E+00	3.62E+00
V77	3.46E+00	3.46E+00
V78	5.22E+00	5.22E+00
V79	2.10E+01	2.10E+01
V80	1.80E+00	1.80E+00
V81	4.85E+00	4.85E+00
V82	2.24E+00	2.24E+00
V83	5.75E+00	5.75E+00
V84	1.63E+00	1.65E+00
V85	1.15E+01	1.15E+01
V86	1.79E+00	1.79E+00
V87	1.13E+00	1.13E+00
V88	2.94E+00	2.94E+00
V89	3.16E+00	3.16E+00
V90	1.76E+01	1.76E+01
V91	8.11E+00	8.11E+00
V92	6.80E+01	6.80E+01
V93	0.00E+00	0.00E+00
V94	6.22E+00	6.22E+00
V95	1.73E+00	1.70E+00
V96	1.30E+01	1.30E+01
V97	4.78E+01	4.78E+01
V98	1.23E+00	1.23E+00
V99	5.79E+00	5.79E+00
V100	3.29E+00	3.29E+00
