NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	139.481	25.198	28.464	15.595	0.108	0.982	70000.0
2	138.774	25.376	28.383	15.523	0.112	0.982	70000.0
3	142.132	25.281	29.593	15.82	0.106	0.982	60000.0
4	139.64	25.329	28.861	15.858	0.11	0.982	90000.0
5	139.34	25.155	28.38	15.508	0.11	0.983	80000.0
6	139.369	25.617	28.85	15.916	0.112	0.981	50000.0
7	138.871	25.31	28.525	15.623	0.111	0.981	40000.0
8	141.677	25.885	29.016	16.185	0.113	0.98	50000.0
9	140.321	25.457	28.285	15.689	0.113	0.982	50000.0
10	140.889	25.48	29.461	15.765	0.112	0.981	60000.0
