Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
V1	0.00E+00	4.71E+00	3.82E+00	2.06E+00	3.14E+00	0.00E+00	0.00E+00	4.16E-01	8.75E-01	2.07E+00	1.80E+00	3.96E+00	1.00E-01	2.80E+00	2.10E+00	4.20E+00	1.79E+00	4.54E+00
V2	3.13E+00	1.74E+00	7.95E-01	2.35E+00	3.79E-01	1.12E+00	2.10E+00	2.05E+00	2.17E+00	4.71E-01	2.50E+00	6.00E-01	8.03E-01	1.00E-01	1.48E+00	1.09E+00	3.42E-01	1.63E+00
V3	2.02E+00	4.58E-01	4.58E+00	2.54E+00	3.64E+00	4.17E+00	8.56E-01	5.16E+00	2.42E+00	3.17E+00	1.57E+00	1.31E+00	2.12E+00	1.92E+00	5.38E+00	5.48E+00	5.96E-01	3.90E+00
V4	1.22E+01	2.57E+00	5.58E-01	0.00E+00	2.69E-01	1.18E+00	1.20E+01	2.50E+00	0.00E+00	4.16E-01	0.00E+00	5.69E+00	1.11E+00	0.00E+00	0.00E+00	3.43E+00	3.47E+00	8.35E+00
V5	6.64E+00	5.97E-01	9.93E+00	1.57E+00	5.03E+00	5.22E-01	6.47E+00	1.29E+00	4.73E-01	4.19E+00	2.38E+00	5.57E+00	2.37E+00	4.67E+00	1.68E+01	3.96E+00	1.26E+00	3.12E+00
V6	1.05E+00	1.15E+01	1.17E+00	0.00E+00	3.28E+00	0.00E+00	8.79E-01	2.21E-01	0.00E+00	5.56E+00	0.00E+00	4.22E+00	4.90E-01	1.54E+00	0.00E+00	5.31E+00	5.41E+00	1.33E+01
V7	7.02E-01	4.75E+00	4.90E+00	5.21E-01	4.06E+00	2.13E-01	5.78E-01	7.81E-01	0.00E+00	3.29E+00	0.00E+00	2.11E+00	1.83E+00	4.33E+00	7.74E+00	2.04E+00	4.75E+00	5.67E+00
V8	0.00E+00	5.39E-01	5.28E+00	8.74E+00	2.00E-01	5.80E+00	4.33E-01	6.20E+00	7.19E+00	6.00E-01	8.27E+00	0.00E+00	1.54E+00	1.24E+01	2.47E+00	5.03E+00	1.71E+00	8.48E+00
V9	1.80E+00	3.51E+00	1.50E+00	2.36E+00	1.30E+00	7.35E+00	1.00E+00	6.74E+00	6.00E-01	2.24E+00	1.85E+00	2.74E+00	2.61E+00	2.88E+00	9.00E-01	1.62E+00	2.28E+00	4.64E+00
V10	6.50E+00	6.98E+00	0.00E+00	0.00E+00	2.41E+00	1.23E+00	2.19E+00	6.86E-01	0.00E+00	2.51E+00	0.00E+00	2.64E+00	1.75E+00	1.86E+00	5.64E+00	2.35E+00	7.85E+00	1.83E+00
V11	2.75E+00	3.25E+00	8.79E-01	6.67E-01	8.65E+00	0.00E+00	5.96E-01	8.85E-01	0.00E+00	1.45E+01	7.16E-01	1.23E+01	5.86E-01	1.42E+00	1.40E+00	7.86E+00	3.95E+00	3.70E+00
V12	0.00E+00	2.31E+00	7.31E-01	6.91E+00	2.90E+00	3.42E-01	0.00E+00	1.22E+00	6.11E+00	2.34E+00	8.79E+00	3.50E+00	1.18E+00	8.00E-01	6.00E-01	3.29E+00	1.47E+00	1.33E+00
V13	5.11E+00	1.25E+00	1.84E+00	0.00E+00	1.04E+00	1.00E-01	3.31E+00	8.16E-01	0.00E+00	1.85E+00	4.28E-01	2.18E+00	0.00E+00	0.00E+00	1.14E+00	2.22E+00	2.00E-01	2.39E+00
V14	2.03E+00	1.33E-01	2.04E+00	5.26E+00	8.72E-01	4.95E+00	6.84E-01	7.41E+00	3.71E+00	8.16E-01	4.72E+00	1.15E+00	3.04E+00	5.85E+00	0.00E+00	3.81E+00	1.50E+00	5.18E+00
V15	0.00E+00	3.14E-01	5.63E-01	2.67E-01	3.66E+00	0.00E+00	0.00E+00	0.00E+00	7.12E-01	2.80E+00	8.72E-01	3.05E+00	0.00E+00	5.00E-01	0.00E+00	1.64E+00	4.27E-01	0.00E+00
V16	2.37E+00	9.20E-01	0.00E+00	3.84E+00	2.13E+00	0.00E+00	2.04E+00	9.40E-01	2.92E+00	1.64E+00	3.89E+00	2.24E+00	0.00E+00	8.19E-01	0.00E+00	9.64E-01	1.69E+00	0.00E+00
V17	1.10E+00	4.08E+00	6.86E-01	6.13E+00	1.79E+00	1.90E+01	6.51E-01	1.65E+01	1.75E+00	5.48E+00	5.40E+00	1.67E+00	3.53E+00	3.34E+00	4.01E-01	1.42E+01	6.56E+00	1.61E+01
V18	2.49E-01	0.00E+00	0.00E+00	0.00E+00	6.57E-01	2.22E+00	2.00E-01	4.07E-01	0.00E+00	1.11E+00	0.00E+00	6.05E-01	3.64E+00	1.02E+00	0.00E+00	2.28E+00	1.00E-01	1.00E+00
V19	2.93E+00	7.20E+00	7.52E-01	4.30E+00	6.96E-01	3.31E+00	7.90E-01	4.77E-01	1.34E+00	8.00E-01	4.59E+00	4.82E-01	1.49E+00	1.07E+00	2.43E+00	1.32E+00	4.39E+00	6.08E+00
V20	6.51E-01	6.68E+00	5.05E+00	8.77E+00	2.16E+00	2.75E+00	5.26E-01	2.46E+00	2.19E+00	1.42E+00	9.08E+00	9.78E-01	2.39E+00	3.93E+00	7.30E+00	2.92E+00	4.34E+00	5.47E+00
