MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
1:Del:C:0	1.12E-06	1.14E-07	1.40E-46	0.00E+00	5.06E-02	1.14E-07	4.45E-02	5.89E-03	2.35E-03	4.30E-03	2.82E-02	1.57E-02	1.98E-05	4.19E-02	8.40E-04	1.56E-03	5.78E-03	2.65E-03	2.28E-02	8.54E-02
1:Del:C:1	5.59E-04	0.00E+00	0.00E+00	1.53E-07	2.47E-03	8.47E-08	3.45E-02	2.94E-03	1.35E-02	2.68E-07	4.93E-02	9.78E-03	0.00E+00	7.30E-03	2.36E-02	1.18E-02	8.85E-03	7.37E-03	1.37E-02	1.31E-02
1:Del:C:2	2.01E-04	0.00E+00	0.00E+00	3.93E-04	1.07E-03	1.26E-08	2.13E-03	2.87E-03	4.52E-03	0.00E+00	1.43E-03	2.04E-03	6.93E-04	2.40E-03	1.07E-03	1.43E-04	1.36E-03	0.00E+00	3.56E-03	2.85E-03
1:Del:C:3	0.00E+00	5.42E-04	1.05E-04	4.70E-04	8.38E-04	2.24E-08	4.16E-03	2.46E-03	4.81E-03	1.19E-07	7.84E-03	2.34E-03	9.07E-03	1.71E-03	2.58E-03	3.60E-02	9.20E-04	5.59E-03	7.22E-03	4.74E-03
1:Del:C:4	1.37E-07	1.66E-04	1.14E-07	9.52E-05	2.12E-03	6.87E-09	4.38E-03	1.00E-07	1.69E-03	5.50E-04	1.12E-02	1.08E-03	2.41E-07	2.40E-03	1.57E-03	3.95E-03	2.48E-03	1.10E-07	8.84E-03	3.73E-03
1:Del:C:5	0.00E+00	1.63E-03	1.04E-04	0.00E+00	0.00E+00	3.17E-08	8.65E-04	8.01E-04	1.03E-03	0.00E+00	8.71E-04	2.46E-03	4.28E-03	2.98E-04	5.01E-03	1.65E-02	1.54E-02	4.18E-02	4.16E-04	3.36E-03
1:Del:T:0	3.09E-08	5.61E-46	1.75E-07	1.74E-07	1.73E-06	1.38E-07	1.04E-02	1.73E-02	1.07E-02	1.87E-46	2.35E-02	7.08E-04	7.01E-46	5.63E-02	1.93E-02	9.70E-03	2.82E-03	1.82E-07	4.14E-06	3.23E-02
1:Del:T:1	1.63E-08	4.60E-04	2.14E-06	1.40E-46	1.12E-02	7.59E-08	1.32E-02	2.80E-03	5.37E-03	2.69E-05	2.00E-02	5.87E-03	2.27E-03	2.80E-46	7.91E-03	6.26E-03	9.05E-03	0.00E+00	1.18E-02	6.41E-02
1:Del:T:2	0.00E+00	3.15E-08	1.33E-08	2.04E-08	1.04E-02	1.40E-46	2.33E-02	0.00E+00	2.51E-03	0.00E+00	3.13E-02	2.76E-04	1.09E-02	1.40E-46	1.37E-02	3.85E-03	1.52E-03	1.18E-02	5.85E-03	3.98E-02
1:Del:T:3	9.32E-04	3.44E-03	1.40E-46	1.40E-46	2.80E-02	0.00E+00	2.07E-02	4.87E-07	4.99E-07	1.87E-46	9.36E-03	5.78E-08	4.32E-02	4.16E-02	9.42E-02	5.07E-03	1.16E-07	1.30E-02	1.43E-02	6.54E-06
