K,a,alpha,epsilon,Kest,Sensitivity,Precision,rmse_novel_Sig,rmse_cosmic_Sig,rmse_Signatures,rmse_novel_Theta,rmse_cosmic_Theta,rmse_Weights
25,2,2,0.01,4,0.6666666666666666,1,0.008580777561825495,-1,0.008580777561825495,-1,0.008037966396585067,0.008037966396585067
40,2,2,0.01,4,0.6666666666666666,1,0.008506203249401257,-1,0.008506203249401257,-1,0.008003384111893042,0.008003384111893042
15,2,2,0.1,4,0.6666666666666666,1,0.00849750842927189,-1,0.00849750842927189,-1,0.007992830145105581,0.007992830145105581
20,2,2,0.1,4,0.6666666666666666,1,0.008578872614909201,-1,0.008578872614909201,-1,0.008030674725151168,0.008030674725151168
25,2,2,0.1,4,0.6666666666666666,1,0.00853012090028075,-1,0.00853012090028075,-1,0.008008944942361306,0.008008944942361306
40,2,2,0.1,4,0.6666666666666666,1,0.008463036508541731,-1,0.008463036508541731,-1,0.007976315274669646,0.007976315274669646
15,2,2,0.25,4,0.6666666666666666,1,0.008546929012314727,-1,0.008546929012314727,-1,0.008020745810541538,0.008020745810541538
20,2,2,0.25,4,0.6666666666666666,1,0.008371584425397567,-1,0.008371584425397567,-1,0.007927828979471615,0.007927828979471615
25,2,2,0.25,4,0.6666666666666666,1,0.00846622358772873,-1,0.00846622358772873,-1,0.007973133826712145,0.007973133826712145
40,2,2,0.25,4,0.6666666666666666,1,0.008481329809622637,-1,0.008481329809622637,-1,0.007976977008342835,0.007976977008342835
15,0.5,0.5,0.01,8,0.5,0.375,0.00757466987316668,-1,0.00757466987316668,-1,0.007960530132279948,0.007960530132279948
20,0.5,0.5,0.01,8,0.8333333333333334,0.625,0.006287040635467978,-1,0.006287040635467978,-1,0.006481417222276752,0.006481417222276752
25,0.5,0.5,0.01,8,0.8333333333333334,0.625,0.007354460560220395,-1,0.007354460560220395,-1,0.0075580019928165095,0.0075580019928165095
40,0.5,0.5,0.01,8,1,0.75,0.007014486119894695,-1,0.007014486119894695,-1,0.00728960462512075,0.00728960462512075
15,0.5,0.5,0.1,7,0.8333333333333334,0.7142857142857143,0.0038729505247497276,-1,0.0038729505247497276,-1,0.004568613982229233,0.004568613982229233
20,0.5,0.5,0.1,8,0.6666666666666666,0.5,0.00755461963002068,-1,0.00755461963002068,-1,0.007626677746762257,0.007626677746762257
25,0.5,0.5,0.1,9,0.5,0.3333333333333333,0.00952634583599366,-1,0.00952634583599366,-1,0.00930727945154465,0.00930727945154465
40,0.5,0.5,0.1,8,0.8333333333333334,0.625,0.007228464177216947,-1,0.007228464177216947,-1,0.007367391375619836,0.007367391375619836
15,0.5,0.5,0.25,8,0.6666666666666666,0.5,0.007727729985911578,-1,0.007727729985911578,-1,0.00763701453495284,0.00763701453495284
20,0.5,0.5,0.25,8,0.6666666666666666,0.5,0.007940688296643704,-1,0.007940688296643704,-1,0.007980861819782786,0.007980861819782786
25,0.5,0.5,0.25,8,0.8333333333333334,0.625,0.007186779819893233,-1,0.007186779819893233,-1,0.007365944907531972,0.007365944907531972
40,0.5,0.5,0.25,8,0.8333333333333334,0.625,0.007186377251012148,-1,0.007186377251012148,-1,0.007397489684147014,0.007397489684147014
15,0.5,1,0.01,8,0.8333333333333334,0.625,0.00653395669147396,-1,0.00653395669147396,-1,0.0065433668169744014,0.0065433668169744014
20,0.5,1,0.01,8,0.5,0.375,0.007164705697830335,-1,0.007164705697830335,-1,0.00724489884301594,0.00724489884301594
25,0.5,1,0.01,7,1,0.8571428571428571,0.004798495283929438,-1,0.004798495283929438,-1,0.005059194192143606,0.005059194192143606
40,0.5,1,0.01,7,1,0.8571428571428571,0.004592157982731472,-1,0.004592157982731472,-1,0.004934172487901277,0.004934172487901277
15,0.5,1,0.1,8,0.8333333333333334,0.625,0.006528384739042254,-1,0.006528384739042254,-1,0.006882860663811051,0.006882860663811051
20,0.5,1,0.1,8,1,0.75,0.006851765523084716,-1,0.006851765523084716,-1,0.006735241383645048,0.006735241383645048
25,0.5,1,0.1,8,0.8333333333333334,0.625,0.006508949073729003,-1,0.006508949073729003,-1,0.006572660004525643,0.006572660004525643
40,0.5,1,0.1,8,1,0.75,0.006726844917437775,-1,0.006726844917437775,-1,0.006620240090365538,0.006620240090365538
15,0.5,1,0.25,8,0.6666666666666666,0.5,0.0071155998195197015,-1,0.0071155998195197015,-1,0.007101128632499327,0.007101128632499327
20,0.5,1,0.25,7,0.8333333333333334,0.7142857142857143,0.004710914758665182,-1,0.004710914758665182,-1,0.0050388279839732285,0.0050388279839732285
25,0.5,1,0.25,8,0.6666666666666666,0.5,0.007466499108813028,-1,0.007466499108813028,-1,0.007251673381491691,0.007251673381491691
40,0.5,1,0.25,8,0.5,0.375,0.007500368577805165,-1,0.007500368577805165,-1,0.00730351125229542,0.00730351125229542
15,0.5,2,0.01,7,0.6666666666666666,0.5714285714285714,0.006384550378678597,-1,0.006384550378678597,-1,0.006015368871552752,0.006015368871552752
20,0.5,2,0.01,7,0.6666666666666666,0.5714285714285714,0.006417686677206129,-1,0.006417686677206129,-1,0.006059058478597902,0.006059058478597902
25,0.5,2,0.01,8,0.6666666666666666,0.5,0.007464523718354483,-1,0.007464523718354483,-1,0.0073235046126387034,0.0073235046126387034
40,0.5,2,0.01,7,0.6666666666666666,0.5714285714285714,0.00634259695735032,-1,0.00634259695735032,-1,0.005981015545779967,0.005981015545779967
15,0.5,2,0.1,7,0.6666666666666666,0.5714285714285714,0.006621248662864784,-1,0.006621248662864784,-1,0.006170717595811534,0.006170717595811534
20,0.5,2,0.1,7,0.6666666666666666,0.5714285714285714,0.0063603990780946515,-1,0.0063603990780946515,-1,0.006018232859184339,0.006018232859184339
25,0.5,2,0.1,7,0.6666666666666666,0.5714285714285714,0.006350198490484416,-1,0.006350198490484416,-1,0.006003188018290186,0.006003188018290186
40,0.5,2,0.1,7,0.6666666666666666,0.5714285714285714,0.006314462828525662,-1,0.006314462828525662,-1,0.005988141865303375,0.005988141865303375
15,0.5,2,0.25,7,0.6666666666666666,0.5714285714285714,0.006280018128242638,-1,0.006280018128242638,-1,0.005935609342642739,0.005935609342642739
20,0.5,2,0.25,7,0.6666666666666666,0.5714285714285714,0.0063334424793352355,-1,0.0063334424793352355,-1,0.006047366848811249,0.006047366848811249
25,0.5,2,0.25,7,0.6666666666666666,0.5714285714285714,0.006385915619756218,-1,0.006385915619756218,-1,0.006050675593810207,0.006050675593810207
40,0.5,2,0.25,7,0.6666666666666666,0.5714285714285714,0.00663521862651876,-1,0.00663521862651876,-1,0.006165837573835971,0.006165837573835971
