Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
V1	0	46	93	160	27	0	2
V2	136	2	7	13	17	9	31
V3	18	60	77	1	14	46	49
V4	830	11	4	21	0	5	0
V5	289	78	242	2	11	6	17
V6	19	72	7	159	0	2	1
V7	7	79	103	41	2	5	1
V8	0	0	48	0	59	62	133
V9	34	17	15	27	31	86	0
V10	86	38	1	106	0	11	1
V11	50	235	6	27	7	1	0
V12	0	23	4	26	64	0	118
V13	257	11	75	9	0	0	0
V14	37	9	17	0	40	61	49
V15	0	34	3	2	1	0	11
V16	122	44	0	6	29	0	19
V17	7	27	2	38	50	175	50
V18	2	11	0	0	0	30	0
V19	30	6	4	57	51	23	0
V20	2	26	45	146	141	38	46
V21	0	30	124	13	51	192	51
V22	167	89	59	61	12	11	13
V23	51	0	1	251	183	118	1
V24	5	65	28	22	7	0	7
V25	8	138	42	53	100	44	63
V26	22	80	39	40	17	67	9
V27	36	0	110	2	45	0	53
V28	66	0	3	40	23	0	0
V29	0	232	3	127	49	179	16
V30	0	8	16	14	16	0	488
V31	78	1	13	6	23	0	0
V32	6	70	0	116	3	0	0
V33	156	10	25	22	39	72	19
V34	43	0	129	0	88	0	88
V35	198	34	42	12	389	167	0
V36	0	17	1	30	5	5	7
V37	0	37	302	179	17	114	38
V38	2	49	75	1	17	7	0
V39	2	13	0	140	0	35	5
V40	9	70	73	32	0	36	3
V41	232	0	23	25	46	25	80
V42	8	91	3	28	0	8	2
V43	2	19	7	20	0	60	8
V44	34	37	11	65	27	32	38
V45	98	33	33	8	18	200	0
V46	17	11	4	37	28	124	34
V47	113	64	0	59	0	73	15
V48	65	2	1	72	38	97	72
V49	79	213	0	196	8	0	15
V50	166	65	30	36	0	182	16
V51	0	103	154	30	7	17	3
V52	33	51	100	28	56	0	14
V53	182	4	11	4	1	18	0
V54	6	11	2	27	18	11	18
V55	17	13	410	3	16	0	37
V56	89	75	143	17	20	0	84
V57	13	0	12	0	77	60	21
V58	47	5	223	32	323	3	23
V59	7	24	11	85	25	0	2
V60	111	276	103	17	28	0	4
V61	1	41	65	127	176	0	48
V62	2	11	24	8	21	1	7
V63	190	123	21	0	149	0	200
V64	5	55	55	12	1	93	0
V65	201	133	91	10	80	99	19
V66	0	1	0	129	3	3	0
V67	8	165	10	14	0	246	0
V68	32	0	2	34	72	0	42
V69	9	70	434	0	146	84	81
V70	77	16	29	1	13	0	1
V71	19	5	12	3	41	46	0
V72	24	64	2	1	5	20	5
V73	44	261	16	37	36	3	0
V74	144	6	77	9	16	10	10
V75	42	6	76	27	29	12	26
V76	108	13	9	16	0	52	3
V77	147	79	0	0	8	34	46
V78	73	3	0	84	30	71	19
V79	286	93	9	2	61	64	0
V80	3	6	98	4	73	2	43
V81	3	108	23	116	235	16	0
V82	0	25	4	105	9	52	20
V83	9	82	1	5	15	4	20
V84	0	28	40	0	7	0	15
V85	322	80	25	7	0	16	48
V86	0	0	1	3	64	0	43
V87	64	0	131	2	0	1	0
V88	18	19	1	18	61	0	28
V89	0	13	42	197	43	41	69
V90	17	244	49	49	0	5	1
V91	12	109	5	123	13	47	29
V92	121	7	29	51	8	10	5
V93	40	44	2	5	48	96	8
V94	65	2	0	13	0	12	0
V95	4	23	2	4	17	163	17
V96	46	0	55	150	3	0	0
V97	31	236	42	7	14	46	3
V98	14	15	80	67	0	2	0
V99	19	42	134	110	20	52	0
V100	0	2	84	31	134	23	0
