Samples	ID83A	ID83B	ID83C
V1	1.16E+01	1.57E+01	1.42E+01
V2	2.67E+00	1.01E+01	1.08E+01
V3	1.64E+01	2.21E+01	2.38E+01
V4	2.99E+01	2.63E+01	1.96E+01
V5	7.14E+00	1.03E+01	1.04E+01
V6	1.78E+01	1.36E+01	1.31E+01
V7	1.08E+01	1.31E+01	1.24E+01
V8	4.06E+00	1.78E+01	1.86E+01
V9	2.74E+00	8.98E+00	7.64E+00
V10	5.15E+01	4.73E+01	3.87E+01
V11	5.61E+00	3.97E+00	5.37E+00
V12	1.13E+01	1.40E+01	1.25E+01
V13	5.62E+00	1.13E+01	1.06E+01
V14	1.60E+00	6.07E+00	7.16E+00
V15	3.32E+01	3.97E+01	3.43E+01
V16	6.46E+01	5.63E+01	3.56E+01
V17	2.57E+01	2.29E+01	2.83E+01
V18	3.28E+01	2.97E+01	3.26E+01
V19	2.26E+01	2.17E+01	1.89E+01
V20	4.58E+01	4.82E+01	4.47E+01
V21	8.67E+00	1.80E+01	1.90E+01
V22	2.59E+01	2.58E+01	2.37E+01
V23	8.81E+00	1.60E+01	1.91E+01
V24	1.93E+01	1.98E+01	1.45E+01
V25	2.58E+01	3.03E+01	3.33E+01
V26	1.94E+01	2.18E+01	2.13E+01
V27	2.26E+01	2.46E+01	1.96E+01
V28	1.09E+01	1.05E+01	4.78E+00
V29	2.90E+00	3.53E+00	3.35E+00
V30	1.08E+01	8.76E+00	7.59E+00
V31	3.86E+01	3.13E+01	2.13E+01
V32	5.07E+00	4.71E+00	4.61E+00
V33	4.39E+01	4.43E+01	4.04E+01
V34	1.02E+02	1.07E+02	1.02E+02
V35	1.21E+01	5.15E+00	1.16E+01
V36	1.06E+01	9.71E+00	9.55E+00
V37	8.96E+00	2.05E+01	1.90E+01
V38	3.01E+00	6.64E+00	6.59E+00
V39	6.01E+00	5.92E+00	5.11E+00
V40	1.02E+01	1.09E+01	8.12E+00
V41	5.85E+01	5.58E+01	4.24E+01
V42	6.62E+00	6.09E+00	3.47E+00
V43	1.08E+01	9.33E+00	6.56E+00
V44	1.29E+01	8.27E+00	1.37E+01
V45	3.98E+00	5.69E+00	5.13E+00
V46	7.53E+00	1.15E+01	1.20E+01
V47	6.24E+00	7.05E+00	6.38E+00
V48	2.70E+01	2.51E+01	2.00E+01
V49	4.86E+00	3.25E+01	3.45E+01
V50	5.28E+00	9.52E+00	1.01E+01
V51	8.55E+00	1.32E+01	1.04E+01
V52	4.03E+00	4.21E+00	3.70E+00
V53	1.41E+01	2.46E+01	2.90E+01
V54	3.67E+01	2.32E+01	2.70E+01
V55	1.25E+01	1.45E+01	1.34E+01
V56	3.49E+01	3.37E+01	3.05E+01
V57	1.62E+01	1.82E+01	1.69E+01
V58	1.05E+00	2.95E+01	2.97E+01
V59	9.45E-01	1.19E+00	1.18E+00
V60	5.77E-01	1.29E+00	1.01E+00
V61	4.73E-01	3.84E+00	3.88E+00
V62	1.65E+01	1.71E+01	1.54E+01
V63	9.31E+00	1.11E+01	1.05E+01
V64	2.22E+00	2.02E+00	1.54E+00
V65	3.45E+01	3.55E+01	3.26E+01
V66	9.44E+00	8.30E+00	9.04E+00
V67	2.08E+01	2.06E+01	1.93E+01
V68	1.44E+00	2.76E+01	2.73E+01
V69	8.36E+00	7.96E+00	4.77E+00
V70	3.75E+00	6.59E+00	5.49E+00
V71	1.04E+01	7.58E+00	7.59E+00
V72	3.00E-01	2.89E+00	2.85E+00
V73	1.96E+01	2.04E+01	1.93E+01
V74	2.74E+01	2.78E+01	2.51E+01
V75	1.10E+01	1.89E+01	2.03E+01
V76	2.36E+00	2.52E+00	2.33E+00
V77	2.70E+00	4.95E+00	3.76E+00
V78	2.59E+01	3.18E+01	3.01E+01
V79	2.82E+01	2.90E+01	1.99E+01
V80	2.01E+01	2.47E+01	2.51E+01
V81	8.47E+00	8.30E+00	8.22E+00
V82	9.76E+01	7.58E+01	5.11E+01
V83	1.04E+01	8.26E+00	8.30E+00
V84	2.88E+01	2.83E+01	2.67E+01
V85	1.68E+00	3.40E+00	2.77E+00
V86	1.77E+00	2.14E+00	2.12E+00
V87	2.57E+01	3.14E+01	2.99E+01
V88	1.76E+01	1.83E+01	1.72E+01
V89	1.45E+01	1.12E+01	9.73E+00
V90	1.68E+01	1.50E+01	9.34E+00
V91	8.64E+00	9.00E+00	7.39E+00
V92	1.48E+01	1.87E+01	1.64E+01
V93	3.10E+01	3.61E+01	3.49E+01
V94	9.68E+00	1.36E+01	1.13E+01
V95	3.55E+00	4.73E+00	4.79E+00
V96	4.69E+00	8.73E+00	1.07E+01
V97	1.20E+01	1.24E+01	1.15E+01
V98	2.86E+01	2.59E+01	2.05E+01
V99	1.28E+01	1.72E+01	1.53E+01
V100	5.93E+01	3.08E+01	3.30E+01
