NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	36.308	14.729	8.493	8.872	0.088	0.994	40000.0
2	39.029	15.795	9.52	9.864	0.093	0.993	30000.0
3	35.986	14.418	8.543	8.758	0.086	0.995	50000.0
4	42.233	17.246	10.519	10.778	0.094	0.992	60000.0
5	37.721	14.912	9.242	9.142	0.085	0.994	40000.0
6	37.412	15.008	9.186	9.326	0.089	0.994	50000.0
7	35.275	14.269	8.417	8.771	0.086	0.995	80000.0
8	40.35	16.511	9.941	10.282	0.094	0.992	30000.0
9	35.969	14.541	8.363	8.73	0.088	0.994	40000.0
10	36.146	15.05	8.251	8.888	0.095	0.994	50000.0
