Sample Names	MutationType	ID1	ID2	ID8	ID9	ID17	ID83C
V1	1:Del:C:0	0.0	0.015636298782974963	0.19105640973241764	0.7816558365035006	0.0	0.011651454981106762
V1	1:Del:C:1	0.0	0.0002053847721478166	0.32894637220408773	0.6690882241012327	0.0	0.0017600189225316996
V1	1:Del:C:2	0.0	0.00043038478775131325	0.6821418871539374	0.26809396346708914	0.0	0.049333764591222205
V1	1:Del:C:3	0.0	0.13337434058763886	0.43143904691211005	0.412751733271117	0.0	0.02243487922913398
V1	1:Del:C:4	0.0	0.25420566249279436	0.12443759779933035	0.5930251942072285	0.0	0.028331545500646777
V1	1:Del:C:5	0.0	0.8473849353496645	0.08012201867579609	0.0018701645928738558	0.0	0.07062288138166553
V1	1:Del:T:0	0.0	0.058624233548077	0.37580665768966975	0.5611508818043257	0.0	0.004418226957927547
V1	1:Del:T:1	0.0	8.328083585293519e-17	0.3261461483554524	0.672390947018705	0.0	0.0014629046258424132
V1	1:Del:T:2	0.0	0.08451570982700966	0.1598472889741532	0.7425386885916015	0.0	0.013098312607235665
V1	1:Del:T:3	0.0	0.1678922284893533	0.12065051066307605	0.6765597396545171	0.0	0.034897521193053636
V1	1:Del:T:4	0.0	0.30746349446590976	0.012301132864102903	0.44355967096466814	0.0	0.23667570170531915
V1	1:Del:T:5	0.0	0.9796034548937692	0.018899672894950256	0.0008049936525761938	0.0	0.0006918785587043687
V1	1:Ins:C:0	0.0	9.6550511167156e-16	0.9999995734701957	9.521102559450786e-16	0.0	4.265298021670378e-07
V1	1:Ins:C:1	0.0	0.06435411703869055	0.9100093039358231	0.00039390413889582864	0.0	0.025242674886590436
V1	1:Ins:C:2	0.0	0.009955576834957508	0.8587482986233043	0.09647355216018012	0.0	0.03482257238155814
V1	1:Ins:C:3	0.0	0.6367750186814348	0.2553548819200478	5.767622492193756e-15	0.0	0.10787009939851164
V1	1:Ins:C:4	0.0	0.7319119885003742	0.2061582272124743	0.00039090993291395973	0.0	0.061538874354237494
V1	1:Ins:C:5	0.0	0.8406023590216826	0.06753165166298679	0.004946553424253207	0.0	0.08691943589107753
V1	1:Ins:T:0	0.0	0.0736443211593765	0.36983073262886373	0.5034558421987387	0.0	0.05306910401302098
V1	1:Ins:T:1	0.0	2.6243118918955565e-16	0.478732295696709	0.496785382337506	0.0	0.024482321965784825
V1	1:Ins:T:2	0.0	0.13560218896287296	0.4434324387006324	0.3492693974622419	0.0	0.07169597487425267
V1	1:Ins:T:3	0.0	0.2699642840355716	0.4011731800757174	0.28735516752173235	0.0	0.041507368366978624
V1	1:Ins:T:4	0.0	0.10045330478381247	0.03506830644944341	0.03287864359887882	0.0	0.8315997451678653
V1	1:Ins:T:5	0.0	0.08410004009604244	0.8010736859416929	0.1115804920238698	0.0	0.0032457819383949
V1	2:Del:R:0	0.0	0.007093856701311371	0.5620400759009404	0.4107895930730482	0.0	0.02007647432470003
V1	2:Del:R:1	0.0	0.1655700343316125	0.7077001473110351	0.1068399321049489	0.0	0.019889886252403264
V1	2:Del:R:2	0.0	0.5176987887418536	0.22039412283757048	0.23975865849447936	0.0	0.022148429926096704
V1	2:Del:R:3	0.0	0.8671553700399386	0.04706061828735753	0.08101729259762298	0.0	0.004766719075080971
V1	2:Del:R:4	0.0	0.6128661540447123	0.2818289538419372	2.7068257453352e-15	0.0	0.10530489211334765
V1	2:Del:R:5	0.0	3.78746918989948e-15	0.9999542498872288	3.1590899332968854e-15	0.0	4.575011276419783e-05
V1	3:Del:R:0	0.0	0.0006831647163669413	0.8868499748662062	0.11246686041742694	0.0	0.0
V1	3:Del:R:1	0.0	0.41041729731592974	0.16375840620179816	0.2540777146326228	0.0	0.1717465818496493
V1	3:Del:R:2	0.0	0.5824731299388508	0.1417652122922097	0.23364039127297526	0.0	0.04212126649596415
V1	3:Del:R:3	0.0	0.40448700952348654	0.3769640450386837	0.21854578196002647	0.0	3.163477803301774e-06
V1	3:Del:R:4	0.0	9.352643965011186e-13	0.9344162978040398	9.176427902395864e-13	0.0	0.0655837021941074
V1	3:Del:R:5	0.0	2.9268280615736486e-14	0.9979372236271874	2.8862229532763737e-14	0.0	0.0020627763727545175
V1	4:Del:R:0	0.0	0.0010634391847885191	0.8703623370602942	0.09066454301431848	0.0	0.037909680740598646
V1	4:Del:R:1	0.0	0.26968302616085243	0.30616099601229785	0.4216243351753914	0.0	0.0025316426514583484
V1	4:Del:R:2	0.0	0.34128232906539063	0.2534572391039351	0.4052589647653768	0.0	1.4670652974065797e-06
V1	4:Del:R:3	0.0	0.10801031061051064	0.633264302539533	0.2545893648723123	0.0	0.0041360219776439945
V1	4:Del:R:4	0.0	2.3415285923903608e-14	0.8536442618191937	2.3090435881212488e-14	0.0	0.14635573818075973
V1	4:Del:R:5	0.0	0.8700689966529654	0.03880003331255249	0.04078816700006582	0.0	0.05034280303441636
V1	5:Del:R:0	0.0	0.00010902167794054382	0.9973606539594613	0.0015740958763141289	0.0	0.0009562284862840868
